Seq.Names,Species.NCBI,Order.IUCN,Family.IUCN,Species.IUCN,Order.Vertlife,Family.Vertlife,Species.Vertlife,Lon,Lat,RangeSize,AnnualTemp,TempRange,TempWarmQuarter,TempColdQuarter,UV,BodyMass,AFR,MaxLongevity,Clade,dN,dS,W,MolRateAll,MolRate12nd,MolRate3rd,Clade.Age,Clade.Age.SD,Tip.Age,Tip.Age.SD,dN.Mean,dN.Mid,dN.Min,dN.Max,dN.QL,dN.QU,dS.Mean,dS.Mid,dS.Min,dS.Max,dS.QL,dS.QU,Habitat,IUCN.Categories,Div.Rate,Div.Rate.DNA,ClaDS.Rate,ClaDS.Rate.DNA,BAMM.Lambda,BAMM.Lambda.DNA,NTR,NTR.DNA,Population,Generation,Island,X,Notes
Alces_alces_MK644923.1,Alces_alces,Cetartiodactyla,Cervidae,Alces_alces,Cetartiodactyla,Cervidae,Alces_alces,20.99383475,58.75745135,23096272.63,-2.311367607,129.5237305,15.059758,-20.05611115,1366.966431,356998.16,3.333315068,27,1502,0.002916,0.149626,0.019488592,0.00767604,0.00252239,0.00767604,8.67819779,0.565800721,7.63270552,0.557514533,0.000370398,0.000369943,0.000313724,0.000431014,0.000323637,0.000417034,0.019320993,0.019297232,0.016364699,0.022482874,0.016881782,0.02175365,Terrestrial,2,0.183415523,0.178920556,0.244904516,0.210226607,0.294824621,0.268005728,21,21,1500000,10.1966537,0.000260303,,
Allactaga_williamsi__MT079957.1,Allactaga_williamsi,Rodentia,Dipodidae,Allactaga_williamsi,Rodentia,Dipodidae,Allactaga_williamsi,43.19396599,37.99353846,705703.6994,10.00100327,86.0071875,21.96384888,-1.593077755,3370.879883,116.74,NA,NA,2164,0.01217,0.538457,0.022601619,0.00521643,0.00221266,0.00521643,35.41299861,1.524133265,25.37762662,1.003894669,0.000470379,0.000471661,0.000427874,0.000524215,0.000432071,0.000508102,0.019755397,0.019809228,0.017970228,0.02201644,0.018146506,0.021339681,Terrestrial,2,0.302031534,0.133238819,0.178526701,0.107306249,0.240795324,0.090645146,25,20,NA,1.712674521,0,,
Allenopithecus_nigroviridis_KJ434962.1,Allenopithecus_nigroviridis,Primates,Cercopithecidae,Allenopithecus_nigroviridis,Primates,Cercopithecidae,Allenopithecus_nigroviridis,18.9019605,0.76919461,165349.3245,24.24023895,5.59739502,25.10714111,23.61789551,5346.570313,4749.96,NA,25,2378,0.011122,0.17111,0.064999123,0.00334587,0.00160699,0.00334587,14.55113187,0.549709392,14.55113115,0.54970939,0.000755855,0.000752928,0.000682185,0.000833346,0.0007044,0.000808526,0.012014931,0.011968397,0.010843878,0.013246703,0.011197009,0.012852178,Terrestrial,2,0.10234881,0.1101597,0.274536703,0.22961501,0.50307765,0.370265376,17,17,NA,11.02577988,0,,
Allocebus_trichotis_KM112334.1,Allocebus_trichotis,Primates,Cheirogaleidae,Allocebus_trichotis,Primates,Cheirogaleidae,Allocebus_trichotis,49.48426825,-16.2474329,7303.538367,20.7207489,19.57669678,23.06569519,17.85219879,4759.431641,77.5,NA,NA,2474,0.010964667,0.230407,0.047588253,0.00401052,0.00184724,0.00401052,32.61234813,1.148945858,20.64036144,0.964380848,0.000521119,0.000521562,0.000471649,0.000594346,0.00047629,0.000570755,0.010532017,0.01054097,0.009532206,0.012011963,0.009626006,0.01153517,Terrestrial,5,0.068591218,0.065524216,0.218906142,0.161016196,0.431960777,0.274378626,17,17,NA,5.626067123,0,,
Alouatta_caraya_KC757384.1,Alouatta_caraya,Primates,Atelidae,Alouatta_caraya,Primates,Atelidae,Alouatta_caraya,-53.11224722,-17.63712579,3064214.8,24.07914886,18.29784546,26.40908813,21.20307312,4907.625,5862.46,3.71,26.35,2438,0.002151,0.033659,0.063905642,0.00428359,0.00159381,0.00428359,22.64803249,0.684667696,3.80579787,0.506514689,0.000573694,0.000573591,0.00040845,0.000794,0.000437635,0.000750728,0.009837752,0.009835985,0.007004137,0.013615566,0.007504605,0.012873531,Terrestrial,3,0.527584063,0.325094176,0.390644815,0.25300799,0.511763077,0.377637462,21,19,NA,10.2756,0,,
Alouatta_guariba_clamitans_KY202428.1,Alouatta_guariba,Primates,Atelidae,Alouatta_guariba,Primates,Atelidae,Alouatta_guariba,-48.02357067,-23.74490747,940355.9017,20.54944763,26.33350098,23.77223206,16.57605896,4255.821777,5188.33,NA,NA,2438,0.002557333,0.035065333,0.07293053,0.00278395,0.00126136,0.00278395,22.64803249,0.684667696,5.61057573,0.567649631,0.000454587,0.00045552,0.000364858,0.000599419,0.000373795,0.000540239,0.006851638,0.006865693,0.005499217,0.009034568,0.005633924,0.008142597,Terrestrial,4,0.327786015,0.218326453,0.400603138,0.253752641,0.511763077,0.377677915,21,18,NA,10.65298955,0,,
Alouatta_seniculus_HQ644333.1,Alouatta_seniculus,Primates,Atelidae,Alouatta_seniculus,Primates,Atelidae,Alouatta_seniculus,-72.2436797,-0.6376976,2267697.408,23.58983612,4.963768311,24.19680786,22.70629272,5300.284668,6145.54,4.58,25,2438,0.001441667,0.025508333,0.056517478,0.00339407,0.00124867,0.00339407,22.64803249,0.684667696,3.80579787,0.506514689,0.0003693,0.000369234,0.000262929,0.000511116,0.000281716,0.00048326,0.007286702,0.007285393,0.005187878,0.010084882,0.005558569,0.009535267,Terrestrial,2,0.668378638,0.315639651,0.410956926,0.255584375,0.511750924,0.377840451,21,18,NA,10.5018,0,,
Ammotragus_lervia_EF466060.1,Ammotragus_lervia,Cetartiodactyla,Bovidae,Ammotragus_lervia,Cetartiodactyla,Bovidae,Ammotragus_lervia,4.68313556,25.5289767,1416965.894,22.73275299,66.12507813,31.27148743,13.10746613,4886.885742,48000,1.116657534,21.23334247,1379,0.002047,0.069305,0.029536109,0.00832921,0.00277003,0.00832921,8.70803482,0.460280838,5.44321813,0.508749285,0.000379569,0.000379681,0.000313868,0.000509288,0.000319919,0.000448543,0.012964216,0.012968041,0.01072018,0.017394776,0.010926878,0.015320048,Terrestrial,4,0.183833762,0.220343733,0.283507457,0.247342096,0.289786648,0.26756006,31,31,10000,5,0,,
Anomalurus_beecrofti_KX529109.1,Anomalurus_beecrofti,Rodentia,Anomaluridae,Anomalurus_beecrofti,Rodentia,Anomaluridae,Anomalurus_beecrofti,13.02002663,1.78709766,3245229.516,24.0713089,7.806988525,25.22742615,23.02340546,5415.418457,389,NA,NA,2169,0.00719,0.162740667,0.044180721,0.00533595,0.00199654,0.00533595,30.01397488,2.208880606,12.73675199,0.934756438,0.000558101,0.000558779,0.000453337,0.000655498,0.00048499,0.00062684,0.01366737,0.013683976,0.011101805,0.016052539,0.011876945,0.015350732,Terrestrial,2,0.091582494,0.026578745,0.098340448,0.057275926,0.083363524,0.073972307,15,13,NA,2.8299276,0.000786249,,
Anomalurus_derbianus_KX529107.1,Anomalurus_derbianus,Rodentia,Anomaluridae,Anomalurus_derbianus,Rodentia,Anomaluridae,Anomalurus_derbianus,19.61388801,-2.94151787,5752727.174,22.87543335,10.23933655,24.50098114,21.45113678,5471.642578,649.99,NA,NA,2169,0.00461,0.148693667,0.031003338,0.00744073,0.00252553,0.00744073,30.01397488,2.208880606,8.0690411,0.607966106,0.000560148,0.000553603,0.000451182,0.000696222,0.000488605,0.000648049,0.018620201,0.018402632,0.014997997,0.02314352,0.016241989,0.021542176,Terrestrial,2,0.091582494,NA,0.099054199,NA,0.083363524,NA,15,NA,NA,2.8299276,0.000462111,,
Anomalurus_pelii_KX529106.1,Anomalurus_pelii,Rodentia,Anomaluridae,Anomalurus_pelii,Rodentia,Anomaluridae,Anomalurus_pelii,-4.50612068,6.2775048,242873.0227,25.71808167,10.4127832,27.18771057,24.18253326,5591.51123,1769.99,NA,NA,2169,0.003389,0.106633667,0.031781707,0.00498925,0.00204459,0.00498925,30.01397488,2.208880606,8.98742432,0.62101224,0.00037252,0.000374516,0.000319053,0.000447333,0.000324701,0.000415641,0.012266123,0.012331831,0.010505574,0.014729491,0.010691537,0.013685962,Terrestrial,1,0.091451621,NA,0.097427635,NA,0.083363524,NA,15,NA,NA,5.791642964,0.001520445,,
Anomalurus_pusillus_KX529108.1,Anomalurus_pusillus,Rodentia,Anomaluridae,Anomalurus_pusillus,Rodentia,Anomaluridae,Anomalurus_pusillus,21.92436361,0.83466429,573139.9136,22.68674774,5.624257813,23.5101944,21.94839172,5385.140625,250,NA,NA,2169,0.004483667,0.123040667,0.036440526,0.00660929,0.00256945,0.00660929,30.01397488,2.208880606,8.0690411,0.607966106,0.000550177,0.000543749,0.000443151,0.000683829,0.000479908,0.000636514,0.015931174,0.015745025,0.012832069,0.01980126,0.013896411,0.018431173,Terrestrial,2,0.091451621,NA,0.098056203,NA,0.083363524,NA,15,NA,NA,2.8299276,1.68E-05,,
Anoura_caudifer_NC_022420.1,Anoura_caudifer,Chiroptera,Phyllostomidae,Anoura_caudifer,Chiroptera,Phyllostomidae,Anoura_caudifer,-61.59832587,-7.73404819,5940468.236,23.33195343,11.67117065,24.75034637,21.42779694,5198.056152,10.81,NA,NA,1832,0.008361333,0.243563,0.034329243,0.00634306,0.00214828,0.00634306,45.62832271,1.577999255,19.39796555,1.4725306,0.00041688,0.000418024,0.000333484,0.000507223,0.000359959,0.000469382,0.013096367,0.013132311,0.010476457,0.015934512,0.011308201,0.014745744,Terrestrial,2,0.201966499,0.087413771,0.143214836,0.09986607,0.126168162,0.077679786,27,25,NA,5.655551644,0.001552554,,
Anourosorex_squamipes_KJ545899.1,Anourosorex_squamipes,Eulipotyphla,Soricidae,Anourosorex_squamipes,Eulipotyphla,Soricidae,Anourosorex_squamipes,103.6575397,27.3291465,1189018.887,15.22154846,55.83647949,22.18744965,6.872531891,3958.679932,20,NA,NA,1911,0.009609333,0.584282,0.016446396,0.00606943,0.00238381,0.00606943,23.27218691,1.368189179,17.88212078,1.141248895,0.000531075,0.000533781,0.000440846,0.000593836,0.000470102,0.000587165,0.031190503,0.031349477,0.025891266,0.034876539,0.027609521,0.034484714,Terrestrial,2,0.167725182,0.047162751,0.112005074,0.085952458,0.095887824,0.078189593,18,15,NA,1.039158784,0,,
Antechinomys_laniger__KJ868097.1,Antechinomys_laniger,Dasyuromorphia,Dasyuridae,Antechinomys_laniger,Dasyuromorphia,Dasyuridae,Antechinomys_laniger,132.5933039,-26.43321088,2438423.419,22.49319,60.72469238,30.18537598,13.36278076,4569.784668,25.57,1.111616438,3.4,2682,0.003534,0.217304333,0.016262906,0.01025918,0.00207839,0.01025918,16.37840331,1.296954872,9.15681503,0.62794453,0.000383354,0.000384311,0.000323038,0.000444721,0.000338897,0.000436737,0.023253834,0.023311922,0.01959516,0.026976274,0.02055711,0.02649203,Terrestrial,2,0.054879615,0.062724259,0.08198062,0.090489867,0.080121885,0.07560275,18,18,1.00E+05,1.794109589,0,,
Antechinus_arktos__MK977601.1,Antechinus_arktos,NA,NA,NA,Dasyuromorphia,Dasyuridae,Antechinus_arktos,153.3938123,-28.20698643,324.3264279,19.803862,31.66700928,23.86113129,15.07508545,3711.358398,50,NA,NA,2661,0.002648667,0.073862667,0.035859343,0.00630662,0.00188637,0.00630662,21.20387477,0.958152109,6.54514234,0.878179516,0.000403696,0.000397832,0.000274313,0.000549439,0.000317279,0.000504069,0.0123235,0.012144504,0.008373856,0.016772566,0.009685492,0.015387549,Terrestrial,2,0.175460695,NA,0.122340838,NA,0.086398321,NA,22,NA,NA,,0,,Subspecies of Antechinus swainsonii
Antechinus_flavipes__KJ868098.1,Antechinus_flavipes,Dasyuromorphia,Dasyuridae,Antechinus_flavipes,Dasyuromorphia,Dasyuridae,Antechinus_flavipes,146.4423889,-29.82642208,1008801.549,18.31990204,47.43674316,24.49552002,11.43030472,3855.520752,45,0.989260274,3.7,2661,0.003605333,0.131018,0.027517847,0.00688469,0.00181305,0.00688469,21.20387477,0.958152109,9.62254856,1.211291441,0.000380841,0.000381782,0.000285065,0.000510254,0.000290808,0.000497722,0.014954643,0.014991568,0.01119376,0.020036333,0.011419253,0.019544229,Terrestrial,2,0.137152158,0.131584165,0.117090978,0.086925377,0.086398321,0.075764015,21,20,NA,1.817484384,0,,
Antechinus_godmani__KJ868099.1,Antechinus_godmani,Dasyuromorphia,Dasyuridae,Antechinus_godmani,Dasyuromorphia,Dasyuridae,Antechinus_godmani,145.6972148,-17.61387595,3599.521592,21.38625031,25.36859131,24.35404053,17.50215912,4736.141113,76.5,NA,NA,2661,0.00403,0.130034667,0.030991736,0.00657178,0.00185302,0.00657178,21.20387477,0.958152109,9.62254856,1.211291441,0.000407619,0.000408626,0.000305109,0.000546131,0.000311255,0.000532718,0.013556407,0.01358988,0.01014716,0.018162967,0.010351571,0.017716874,Terrestrial,2,0.17445855,0.112397152,0.111480123,0.080471057,0.085876369,0.075669189,20,19,NA,1.715556086,0,,
Antechinus_swainsonii__KJ868100.1,Antechinus_swainsonii,Dasyuromorphia,Dasyuridae,Antechinus_swainsonii,Dasyuromorphia,Dasyuridae,Antechinus_swainsonii,148.9635081,-35.68942915,314283.0266,13.37683716,38.93865723,18.73024902,7.883415222,3138.819092,53,0.954013699,2.65,2661,0.002440667,0.079841667,0.030568834,0.00652661,0.00190006,0.00652661,21.20387477,0.958152109,6.54514234,0.878179516,0.000371618,0.00036622,0.000252515,0.00050578,0.000292068,0.000464015,0.013130114,0.012939402,0.008921953,0.017870386,0.01031944,0.016394716,Terrestrial,2,0.136339743,0.09320976,0.102728653,0.083459516,0.085803519,0.075561263,19,18,NA,1.491685616,0,,
Antidorcas_marsupialis_JN632596.1,Antidorcas_marsupialis,Cetartiodactyla,Bovidae,Antidorcas_marsupialis,Cetartiodactyla,Bovidae,Antidorcas_marsupialis,20.88701817,-24.99609585,1950012.855,19.5939209,43.75431641,24.65803223,12.59472656,4853.260742,31500,1.371164384,19.93334247,1432,0.002734333,0.155787,0.017551743,0.01264543,0.00344558,0.01264543,11.86420202,0.777354878,4.02865817,0.547218364,0.000700544,0.000686891,0.000551801,0.001283756,0.000558888,0.000915604,0.037996868,0.037256361,0.029929207,0.069629817,0.030313592,0.049661532,Terrestrial,2,0.151716616,0.149138359,0.263302576,0.214407476,0.289884117,0.266366866,27,27,1750000,7.022336118,0,,
Antilocapra_americana_JN632597.1,Antilocapra_americana,Cetartiodactyla,Antilocapridae,Antilocapra_americana,Cetartiodactyla,Antilocapridae,Antilocapra_americana,-106.2546953,40.95667145,2002807.081,9.57462616,92.25942383,22.36281891,-2.989688683,2934.393066,46082.92,1,13.16665753,1517,0.004757,0.489181333,0.00972441,0.00431075,0.00136705,0.00431075,19.12995619,0.784431892,19.12995611,0.784431891,0.000247198,0.000246033,0.000224445,0.000265225,0.00022963,0.000265225,0.021855962,0.021752979,0.019844262,0.023449775,0.020302662,0.023449775,Terrestrial,2,0.042373453,0.041484794,0.143236212,0.111280046,0.077564177,0.086300069,17,17,750000,4.528333334,4.70E-06,,
Antilope_cervicapra_AP003422.1,Antilope_cervicapra,Cetartiodactyla,Bovidae,Antilope_cervicapra,Cetartiodactyla,Bovidae,Antilope_cervicapra,77.4095123,21.00754068,1754050.907,26.26599426,41.17386719,32.24599609,19.92932434,4815.618652,37500,1.833315068,21.46665753,1432,0.002381667,0.091118333,0.026138172,0.0136918,0.00362979,0.0136918,11.86420202,0.777354878,3.89354775,0.327498276,0.000612921,0.00060215,0.000516561,0.000765611,0.00052655,0.000722883,0.023140512,0.022733874,0.01950251,0.028905253,0.019879628,0.027292103,Terrestrial,2,0.221132121,0.219480755,0.33940444,0.294869569,0.291880924,0.269119347,29,29,35000,7.526987033,6.28E-06,,
Aonyx_capensis_NC_046484.1,Aonyx_capensis,Carnivora,Mustelidae,Aonyx_capensis,Carnivora,Mustelidae,Aonyx_capensis,21.07004663,-2.75070239,11817070.92,23.48240814,21.84691162,26.67514343,20.29202576,5457.54541,18999.84,1.189657534,12.06665753,1632,0.004393667,0.074345,0.059098348,0.01094529,0.00365044,0.01094529,13.92659684,0.58750742,6.47674326,0.461078905,0.000670879,0.000669691,0.00056035,0.000838549,0.000584855,0.000758368,0.012328237,0.012306405,0.010297131,0.01540938,0.010747452,0.013935954,Terrestrial,3,0.264619694,0.231809867,0.28353712,0.189757851,0.282979273,0.20825801,31,31,NA,4.444091827,0,,
Aonyx_cinerea_NC_035814.1,Aonyx_cinerea,Carnivora,Mustelidae,Aonyx_cinereus,Carnivora,Mustelidae,Aonyx_cinerea,101.2429865,15.56348351,4793188.509,23.02076569,27.59403809,26.33651733,18.70872345,4800.195313,3527.59,1.249315068,14.38887671,1632,0.002484,0.041400333,0.059999517,0.01262037,0.00391481,0.01262037,13.92659684,0.58750742,3.93559247,0.446469731,0.000611762,0.000613095,0.000431101,0.000801402,0.000490534,0.000742283,0.011546658,0.011571806,0.008136787,0.015125998,0.009258541,0.014010166,Terrestrial,4,0.630657467,0.296239015,0.305672953,0.189008714,0.282979273,0.208088474,33,32,NA,10,0,,Synonym
Aotus_azarai_KC757385.1,Aotus_azarai,Primates,Aotidae,Aotus_azarae,Primates,Aotidae,Aotus_azarae,-55.85983218,-11.41771938,3156514.711,24.82854156,12.42523926,26.50613098,22.95816498,5251.010742,929.57,NA,30,2438,0.002045,0.037988333,0.053832317,0.00335069,0.00119302,0.00335069,22.64803249,0.684667696,4.55916942,0.521206891,0.000440291,0.000438874,0.000324583,0.000627449,0.000352454,0.000527087,0.009024145,0.008995107,0.006652612,0.012860116,0.007223864,0.010803117,Terrestrial,2,0.231630667,0.316940523,0.361581748,0.231669563,0.511855924,0.377705313,19,19,NA,8.35024,0.003047071,,Synonym
Aotus_lemurinus_NC_019799.1,Aotus_lemurinus,Primates,Aotidae,Aotus_lemurinus,Primates,Aotidae,Aotus_lemurinus,-75.19745318,4.01323431,177191.552,14.92039185,3.065917664,15.28269196,14.38966827,6143.75,872.99,NA,25.9,2438,0.001183333,0.031174,0.037958983,0.004116,0.00130991,0.004116,22.64803249,0.684667696,2.98185996,0.369310621,0.000393492,0.000385888,0.000298327,0.000555508,0.000315982,0.000492159,0.011694949,0.011468963,0.008866551,0.016510211,0.009391284,0.014627432,Terrestrial,4,0.84507875,0.496684432,0.442528393,0.237775208,0.511925627,0.377701119,22,20,NA,8,0,,
Aotus_nancymaae_JN161100.1,Aotus_nancymaae,Primates,Aotidae,Aotus_nancymaae,Primates,Aotidae,Aotus_nancymaae,-72.75535461,-5.52480433,509597.7238,24.54011841,4.297124329,25.03166962,23.70298004,5195.344238,788.01,NA,NA,2438,0.001826333,0.036457,0.050095546,0.00451317,0.0015163,0.00451317,22.64803249,0.684667696,2.98185997,0.369310551,0.000616982,0.00060506,0.000467766,0.000871017,0.000495449,0.000771689,0.012895639,0.012646454,0.009776857,0.018205263,0.010355462,0.016129193,Terrestrial,4,0.504915263,0.285875792,0.42674433,0.250979752,0.511925627,0.377705721,21,19,NA,8.35024,0,,
Apodemus_agrarius_KY851908.1,Apodemus_agrarius,Rodentia,Muridae,Apodemus_agrarius,Rodentia,Muridae,Apodemus_agrarius,70.70951518,48.76724263,11531272.51,6.18572197,104.8750781,20.02203369,-8.461307526,1966.227539,23.3,0.265712329,4,2004,0.001555,0.060370333,0.025757685,0.00696099,0.00197199,0.00696099,13.3909463,0.410314572,2.82475282,0.367053714,0.000550457,0.000540525,0.000379114,0.000795348,0.000442004,0.000725278,0.022249519,0.021848067,0.015323829,0.03214803,0.017865846,0.029315799,Terrestrial,2,0.211525401,0.144954624,0.155087569,0.106259095,0.177648233,0.129216581,31,30,NA,1.381938219,0.000511247,,
Apodemus_chevrieri_HQ896683.1,Apodemus_chevrieri,Rodentia,Muridae,Apodemus_chevrieri,Rodentia,Muridae,Apodemus_chevrieri,104.480269,28.90117793,720258.6123,12.5582222,61.58383301,20.39452515,3.476847076,3869.867188,32.9,NA,NA,2004,0.001570333,0.051343667,0.030584752,0.00703825,0.00196987,0.00703825,13.3909463,0.410314572,2.82475282,0.367053714,0.000564384,0.000554201,0.000388706,0.000815471,0.000453187,0.000743628,0.018953979,0.018611989,0.013054103,0.027386348,0.015219604,0.02497362,Terrestrial,2,0.211525401,0.144954624,0.15693443,0.10864473,0.177648233,0.129252348,31,30,NA,1.518336747,0,,
