Seq.Names,Species.NCBI,Order.IUCN,Family.IUCN,Species.IUCN,Order.Vertlife,Family.Vertlife,Species.Vertlife,Lon,Lat,RangeSize,AnnualTemp,TempRange,TempWarmQuarter,TempColdQuarter,UV,BodyMass,AFR,MaxLongevity,Clade,dN,dS,W,MolRateAll,MolRate12nd,MolRate3rd,Clade.Age,Clade.Age.SD,Tip.Age,Tip.Age.SD,dN.Mean,dN.Mid,dN.Min,dN.Max,dN.QL,dN.QU,dS.Mean,dS.Mid,dS.Min,dS.Max,dS.QL,dS.QU,Habitat,IUCN.Categories,Div.Rate,Div.Rate.DNA,ClaDS.Rate,ClaDS.Rate.DNA,BAMM.Lambda,BAMM.Lambda.DNA,NTR,NTR.DNA,Population,Generation,Island,X,Notes
Alces_alces_MK644923.1,Alces_alces,Cetartiodactyla,Cervidae,Alces_alces,Cetartiodactyla,Cervidae,Alces_alces,20.99383475,58.75745135,23096272.63,-2.311367607,129.5237305,15.059758,-20.05611115,1366.966431,356998.16,3.333315068,27,1502,0.002916,0.149626,0.019488592,0.00767604,0.00252239,0.00767604,16.2054981,0.6557461,40.54574252,0.688435339,7.19E-05,0.000345846,0.00027112,0.000416561,0.000300669,0.000402984,0.003690301,0.017746063,0.013911751,0.021374602,0.015427964,0.020677956,Terrestrial,2,0.183415523,0.178920556,0.244904516,0.210226607,0.294824621,0.268005728,21,21,1500000,10.1966537,0.000260303,,
Allactaga_williamsi__MT079957.1,Allactaga_williamsi,Rodentia,Dipodidae,Allactaga_williamsi,Rodentia,Dipodidae,Allactaga_williamsi,43.19396599,37.99353846,705703.6994,10.00100327,86.0071875,21.96384888,-1.593077755,3370.879883,116.74,NA,NA,2164,0.01217,0.538457,0.022601619,0.00521643,0.00221266,0.00521643,55.1138702,1.911016398,33.1457554,1.690350694,0.000367166,0.000490092,0.000416567,0.000586984,0.000428829,0.000568773,0.016245127,0.021683941,0.018430837,0.025970885,0.018973367,0.025165142,Terrestrial,2,0.302031534,0.133238819,0.178526701,0.107306249,0.240795324,0.090645146,25,20,NA,1.712674521,0,,
Allenopithecus_nigroviridis_KJ434962.1,Allenopithecus_nigroviridis,Primates,Cercopithecidae,Allenopithecus_nigroviridis,Primates,Cercopithecidae,Allenopithecus_nigroviridis,18.9019605,0.76919461,165349.3245,24.24023895,5.59739502,25.10714111,23.61789551,5346.570313,4749.96,NA,25,2378,0.011122,0.17111,0.064999123,0.00334587,0.00160699,0.00334587,20.04514568,1.078000869,16.79354267,1.078000816,0.000662278,0.000444247,0.000400356,0.000480019,0.000404262,0.000478533,0.010189035,0.006834655,0.006159407,0.007385,0.006219502,0.007362144,Terrestrial,2,0.10234881,0.1101597,0.274536703,0.22961501,0.50307765,0.370265376,17,17,NA,11.02577988,0,,
Allocebus_trichotis_KM112334.1,Allocebus_trichotis,Primates,Cheirogaleidae,Allocebus_trichotis,Primates,Cheirogaleidae,Allocebus_trichotis,49.48426825,-16.2474329,7303.538367,20.7207489,19.57669678,23.06569519,17.85219879,4759.431641,77.5,NA,NA,2474,0.010964667,0.230407,0.047588253,0.00401052,0.00184724,0.00401052,38.33731897,1.396365474,16.79354267,1.027321585,0.00065291,0.000480015,0.000416135,0.000551583,0.000434832,0.000525245,0.013719976,0.010086839,0.008744492,0.011590729,0.009137385,0.01103728,Terrestrial,5,0.068591218,0.065524216,0.218906142,0.161016196,0.431960777,0.274378626,17,17,NA,5.626067123,0,,
Alouatta_caraya_KC757384.1,Alouatta_caraya,Primates,Atelidae,Alouatta_caraya,Primates,Atelidae,Alouatta_caraya,-53.11224722,-17.63712579,3064214.8,24.07914886,18.29784546,26.40908813,21.20307312,4907.625,5862.46,3.71,26.35,2438,0.002151,0.033659,0.063905642,0.00428359,0.00159381,0.00428359,32.18336149,1.271975016,3.568278037,0.651860752,0.000602812,0.00048016,0.000345073,0.000769346,0.000371569,0.000650814,0.009432841,0.007513574,0.00539973,0.012038786,0.005814331,0.010183977,Terrestrial,3,0.527584063,0.325094176,0.390644815,0.25300799,0.511763077,0.377637462,21,19,NA,10.2756,0,,
Alouatta_guariba_clamitans_KY202428.1,Alouatta_guariba,Primates,Atelidae,Alouatta_guariba,Primates,Atelidae,Alouatta_guariba,-48.02357067,-23.74490747,940355.9017,20.54944763,26.33350098,23.77223206,16.57605896,4255.821777,5188.33,NA,NA,2438,0.002557333,0.035065333,0.07293053,0.00278395,0.00126136,0.00278395,32.18336149,1.271975016,3.568278037,0.843164794,0.000716686,0.000376232,0.000285366,0.000499992,0.000293414,0.000476049,0.009826962,0.005158766,0.003912846,0.006855734,0.004023204,0.006527424,Terrestrial,4,0.327786015,0.218326453,0.400603138,0.253752641,0.511763077,0.377677915,21,18,NA,10.65298955,0,,
Alouatta_seniculus_HQ644333.1,Alouatta_seniculus,Primates,Atelidae,Alouatta_seniculus,Primates,Atelidae,Alouatta_seniculus,-72.2436797,-0.6376976,2267697.408,23.58983612,4.963768311,24.19680786,22.70629272,5300.284668,6145.54,4.58,25,2438,0.001441667,0.025508333,0.056517478,0.00339407,0.00124867,0.00339407,32.18336149,1.271975016,43.5911593,0.651860752,3.31E-05,0.000321818,0.000231279,0.00051564,0.000249037,0.000436195,0.000585172,0.005694131,0.004092163,0.009123544,0.004406366,0.007717885,Terrestrial,2,0.668378638,0.315639651,0.410956926,0.255584375,0.511750924,0.377840451,21,18,NA,10.5018,0,,
Ammotragus_lervia_EF466060.1,Ammotragus_lervia,Cetartiodactyla,Bovidae,Ammotragus_lervia,Cetartiodactyla,Bovidae,Ammotragus_lervia,4.68313556,25.5289767,1416965.894,22.73275299,66.12507813,31.27148743,13.10746613,4886.885742,48000,1.116657534,21.23334247,1379,0.002047,0.069305,0.029536109,0.00832921,0.00277003,0.00832921,13.28222107,0.48176407,31.58569853,0.556586177,6.48E-05,0.000356283,0.000289594,0.00047071,0.000297759,0.000437095,0.002194189,0.012062613,0.009804732,0.015936774,0.010081197,0.014798676,Terrestrial,4,0.183833762,0.220343733,0.283507457,0.247342096,0.289786648,0.26756006,31,31,10000,5,0,,
Anomalurus_beecrofti_KX529109.1,Anomalurus_beecrofti,Rodentia,Anomaluridae,Anomalurus_beecrofti,Rodentia,Anomaluridae,Anomalurus_beecrofti,13.02002663,1.78709766,3245229.516,24.0713089,7.806988525,25.22742615,23.02340546,5415.418457,389,NA,NA,2169,0.00719,0.162740667,0.044180721,0.00533595,0.00199654,0.00533595,49.65713535,2.424699319,18.75399065,1.099060282,0.000383385,0.000512101,0.000425644,0.000619702,0.000447811,0.000591078,0.008677655,0.011591047,0.009634153,0.014026525,0.010135881,0.013378644,Terrestrial,2,0.091582494,0.026578745,0.098340448,0.057275926,0.083363524,0.073972307,15,13,NA,2.8299276,0.000786249,,
Anomalurus_derbianus_KX529107.1,Anomalurus_derbianus,Rodentia,Anomaluridae,Anomalurus_derbianus,Rodentia,Anomaluridae,Anomalurus_derbianus,19.61388801,-2.94151787,5752727.174,22.87543335,10.23933655,24.50098114,21.45113678,5471.642578,649.99,NA,NA,2169,0.00461,0.148693667,0.031003338,0.00744073,0.00252553,0.00744073,49.65713535,2.424699319,14.42321145,0.828972426,0.000319624,0.000522618,0.000418104,0.00067549,0.000432274,0.000628297,0.010309331,0.016856828,0.013485764,0.021787649,0.013942813,0.020265464,Terrestrial,2,0.091582494,NA,0.099054199,NA,0.083363524,NA,15,NA,NA,2.8299276,0.000462111,,
Anomalurus_pelii_KX529106.1,Anomalurus_pelii,Rodentia,Anomaluridae,Anomalurus_pelii,Rodentia,Anomaluridae,Anomalurus_pelii,-4.50612068,6.2775048,242873.0227,25.71808167,10.4127832,27.18771057,24.18253326,5591.51123,1769.99,NA,NA,2169,0.003389,0.106633667,0.031781707,0.00498925,0.00204459,0.00498925,49.65713535,2.424699319,14.42321145,0.847863198,0.000234968,0.000345138,0.000281974,0.000439675,0.000291867,0.000410311,0.007393199,0.010859652,0.008872217,0.013834207,0.00918348,0.012910292,Terrestrial,1,0.091451621,NA,0.097427635,NA,0.083363524,NA,15,NA,NA,5.791642964,0.001520445,,
Anomalurus_pusillus_KX529108.1,Anomalurus_pusillus,Rodentia,Anomaluridae,Anomalurus_pusillus,Rodentia,Anomaluridae,Anomalurus_pusillus,21.92436361,0.83466429,573139.9136,22.68674774,5.624257813,23.5101944,21.94839172,5385.140625,250,NA,NA,2169,0.004483667,0.123040667,0.036440526,0.00660929,0.00256945,0.00660929,49.65713535,2.424699319,6.937628643,0.828972426,0.000646282,0.000508296,0.000406646,0.000656979,0.000420428,0.000611079,0.017735263,0.013948647,0.011159166,0.01802879,0.011537364,0.016769216,Terrestrial,2,0.091451621,NA,0.098056203,NA,0.083363524,NA,15,NA,NA,2.8299276,1.68E-05,,
Anoura_caudifer_NC_022420.1,Anoura_caudifer,Chiroptera,Phyllostomidae,Anoura_caudifer,Chiroptera,Phyllostomidae,Anoura_caudifer,-61.59832587,-7.73404819,5940468.236,23.33195343,11.67117065,24.75034637,21.42779694,5198.056152,10.81,NA,NA,1832,0.008361333,0.243563,0.034329243,0.00634306,0.00214828,0.00634306,59.82266341,2.717266927,6.937628643,1.879694964,0.001205215,0.000380693,0.000315889,0.00046983,0.000332962,0.000464957,0.035107529,0.011089472,0.009201736,0.013685996,0.00969909,0.013544053,Terrestrial,2,0.201966499,0.087413771,0.143214836,0.09986607,0.126168162,0.077679786,27,25,NA,5.655551644,0.001552554,,
Anourosorex_squamipes_KJ545899.1,Anourosorex_squamipes,Eulipotyphla,Soricidae,Anourosorex_squamipes,Eulipotyphla,Soricidae,Anourosorex_squamipes,103.6575397,27.3291465,1189018.887,15.22154846,55.83647949,22.18744965,6.872531891,3958.679932,20,NA,NA,1911,0.009609333,0.584282,0.016446396,0.00606943,0.00238381,0.00606943,45.1577191,1.848065229,12.72482975,1.394993772,0.000755164,0.000488631,0.000397795,0.000572901,0.00041735,0.000555923,0.045916685,0.029710548,0.024187356,0.034834419,0.025376368,0.033802118,Terrestrial,2,0.167725182,0.047162751,0.112005074,0.085952458,0.095887824,0.078189593,18,15,NA,1.039158784,0,,
Antechinomys_laniger__KJ868097.1,Antechinomys_laniger,Dasyuromorphia,Dasyuridae,Antechinomys_laniger,Dasyuromorphia,Dasyuridae,Antechinomys_laniger,132.5933039,-26.43321088,2438423.419,22.49319,60.72469238,30.18537598,13.36278076,4569.784668,25.57,1.111616438,3.4,2682,0.003534,0.217304333,0.016262906,0.01025918,0.00207839,0.01025918,30.80547847,1.590400257,6.197579629,0.699855103,0.000570223,0.000346445,0.000305345,0.000415652,0.000314244,0.000406481,0.035062774,0.021302774,0.018775558,0.025558255,0.019322745,0.024994378,Terrestrial,2,0.054879615,0.062724259,0.08198062,0.090489867,0.080121885,0.07560275,18,18,1.00E+05,1.794109589,0,,
Antechinus_arktos__MK977601.1,Antechinus_arktos,NA,NA,NA,Dasyuromorphia,Dasyuridae,Antechinus_arktos,153.3938123,-28.20698643,324.3264279,19.803862,31.66700928,23.86113129,15.07508545,3711.358398,50,NA,NA,2661,0.002648667,0.073862667,0.035859343,0.00630662,0.00188637,0.00630662,33.45079839,0.999875972,6.197579629,0.920454451,0.000427371,0.000358618,0.000276621,0.000484952,0.000289482,0.000447302,0.011917986,0.010000687,0.007714048,0.01352373,0.008072722,0.012473806,Terrestrial,2,0.175460695,NA,0.122340838,NA,0.086398321,NA,22,NA,NA,,0,,Subspecies of Antechinus swainsonii
Antechinus_flavipes__KJ868098.1,Antechinus_flavipes,Dasyuromorphia,Dasyuridae,Antechinus_flavipes,Dasyuromorphia,Dasyuridae,Antechinus_flavipes,146.4423889,-29.82642208,1008801.549,18.31990204,47.43674316,24.49552002,11.43030472,3855.520752,45,0.989260274,3.7,2661,0.003605333,0.131018,0.027517847,0.00688469,0.00181305,0.00688469,33.45079839,0.999875972,45.28605734,1.18071876,7.96E-05,0.000338716,0.000262377,0.000463113,0.000279064,0.00042131,0.00289312,0.012308964,0.009534807,0.016829548,0.010141213,0.015310435,Terrestrial,2,0.137152158,0.131584165,0.117090978,0.086925377,0.086398321,0.075764015,21,20,NA,1.817484384,0,,
Antechinus_godmani__KJ868099.1,Antechinus_godmani,Dasyuromorphia,Dasyuridae,Antechinus_godmani,Dasyuromorphia,Dasyuridae,Antechinus_godmani,145.6972148,-17.61387595,3599.521592,21.38625031,25.36859131,24.35404053,17.50215912,4736.141113,76.5,NA,NA,2661,0.00403,0.130034667,0.030991736,0.00657178,0.00185302,0.00657178,33.45079839,0.999875972,45.28605734,1.18071876,8.90E-05,0.000378613,0.000293282,0.000517662,0.000311935,0.000470936,0.002871406,0.012216581,0.009463245,0.016703237,0.0100651,0.015195526,Terrestrial,2,0.17445855,0.112397152,0.111480123,0.080471057,0.085876369,0.075669189,20,19,NA,1.715556086,0,,
Antechinus_swainsonii__KJ868100.1,Antechinus_swainsonii,Dasyuromorphia,Dasyuridae,Antechinus_swainsonii,Dasyuromorphia,Dasyuridae,Antechinus_swainsonii,148.9635081,-35.68942915,314283.0266,13.37683716,38.93865723,18.73024902,7.883415222,3138.819092,53,0.954013699,2.65,2661,0.002440667,0.079841667,0.030568834,0.00652661,0.00190006,0.00652661,33.45079839,0.999875972,30.80547847,0.920454451,7.92E-05,0.000330456,0.000254898,0.000446869,0.000266749,0.000412176,0.002591801,0.010810217,0.008338481,0.014618443,0.008726189,0.01348353,Terrestrial,2,0.136339743,0.09320976,0.102728653,0.083459516,0.085803519,0.075561263,19,18,NA,1.491685616,0,,
Antidorcas_marsupialis_JN632596.1,Antidorcas_marsupialis,Cetartiodactyla,Bovidae,Antidorcas_marsupialis,Cetartiodactyla,Bovidae,Antidorcas_marsupialis,20.88701817,-24.99609585,1950012.855,19.5939209,43.75431641,24.65803223,12.59472656,4853.260742,31500,1.371164384,19.93334247,1432,0.002734333,0.155787,0.017551743,0.01264543,0.00344558,0.01264543,22.37815657,0.805868776,17.2333485,0.52573606,0.000158665,0.000590373,0.000440627,0.000826383,0.000479409,0.00080924,0.009039857,0.033636158,0.025104451,0.047082671,0.027314037,0.04610595,Terrestrial,2,0.151716616,0.149138359,0.263302576,0.214407476,0.289884117,0.266366866,27,27,1750000,7.022336118,0,,
Antilocapra_americana_JN632597.1,Antilocapra_americana,Cetartiodactyla,Antilocapridae,Antilocapra_americana,Cetartiodactyla,Antilocapridae,Antilocapra_americana,-106.2546953,40.95667145,2002807.081,9.57462616,92.25942383,22.36281891,-2.989688683,2934.393066,46082.92,1,13.16665753,1517,0.004757,0.489181333,0.00972441,0.00431075,0.00136705,0.00431075,27.64468558,1.482808925,17.2333485,1.482808959,0.000276035,0.000256089,0.000206819,0.000310896,0.000215886,0.000296587,0.028385739,0.026334701,0.021268008,0.031970643,0.02220039,0.030499205,Terrestrial,2,0.042373453,0.041484794,0.143236212,0.111280046,0.077564177,0.086300069,17,17,750000,4.528333334,4.70E-06,,
Antilope_cervicapra_AP003422.1,Antilope_cervicapra,Cetartiodactyla,Bovidae,Antilope_cervicapra,Cetartiodactyla,Bovidae,Antilope_cervicapra,77.4095123,21.00754068,1754050.907,26.26599426,41.17386719,32.24599609,19.92932434,4815.618652,37500,1.833315068,21.46665753,1432,0.002381667,0.091118333,0.026138172,0.0136918,0.00362979,0.0136918,22.37815657,0.805868776,17.12462928,0.387232905,0.000139078,0.000550463,0.000453075,0.000739308,0.000470934,0.000656379,0.005320894,0.021059749,0.017333857,0.028284592,0.01801709,0.025111893,Terrestrial,2,0.221132121,0.219480755,0.33940444,0.294869569,0.291880924,0.269119347,29,29,35000,7.526987033,6.28E-06,,
Aonyx_capensis_NC_046484.1,Aonyx_capensis,Carnivora,Mustelidae,Aonyx_capensis,Carnivora,Mustelidae,Aonyx_capensis,21.07004663,-2.75070239,11817070.92,23.48240814,21.84691162,26.67514343,20.29202576,5457.54541,18999.84,1.189657534,12.06665753,1632,0.004393667,0.074345,0.059098348,0.01094529,0.00365044,0.01094529,22.29425059,0.664200933,17.12462928,0.5837831,0.00025657,0.000632347,0.00050792,0.000786619,0.000550789,0.000735733,0.004341408,0.010699905,0.008594491,0.013310336,0.009319874,0.012449295,Terrestrial,3,0.264619694,0.231809867,0.28353712,0.189757851,0.282979273,0.20825801,31,31,NA,4.444091827,0,,
Aonyx_cinerea_NC_035814.1,Aonyx_cinerea,Carnivora,Mustelidae,Aonyx_cinereus,Carnivora,Mustelidae,Aonyx_cinerea,101.2429865,15.56348351,4793188.509,23.02076569,27.59403809,26.33651733,18.70872345,4800.195313,3527.59,1.249315068,14.38887671,1632,0.002484,0.041400333,0.059999517,0.01262037,0.00391481,0.01262037,22.29425059,0.664200933,17.22954593,0.529248342,0.000144171,0.000590963,0.000423356,0.000810312,0.000488846,0.000766915,0.002402869,0.009849459,0.007055989,0.013505317,0.008147495,0.012782023,Terrestrial,4,0.630657467,0.296239015,0.305672953,0.189008714,0.282979273,0.208088474,33,32,NA,10,0,,Synonym
Aotus_azarai_KC757385.1,Aotus_azarai,Primates,Aotidae,Aotus_azarae,Primates,Aotidae,Aotus_azarae,-55.85983218,-11.41771938,3156514.711,24.82854156,12.42523926,26.50613098,22.95816498,5251.010742,929.57,NA,30,2438,0.002045,0.037988333,0.053832317,0.00335069,0.00119302,0.00335069,32.18336149,1.271975016,17.22954593,0.800219313,0.000118691,0.000363777,0.000244851,0.000483299,0.00028135,0.000469453,0.002204837,0.0067576,0.004548395,0.008977856,0.005226413,0.008720646,Terrestrial,2,0.231630667,0.316940523,0.361581748,0.231669563,0.511855924,0.377705313,19,19,NA,8.35024,0.003047071,,Synonym
Aotus_lemurinus_NC_019799.1,Aotus_lemurinus,Primates,Aotidae,Aotus_lemurinus,Primates,Aotidae,Aotus_lemurinus,-75.19745318,4.01323431,177191.552,14.92039185,3.065917664,15.28269196,14.38966827,6143.75,872.99,NA,25.9,2438,0.001183333,0.031174,0.037958983,0.004116,0.00130991,0.004116,32.18336149,1.271975016,9.279287778,0.5494866,0.000127524,0.000329557,0.000231932,0.000491197,0.000254564,0.000455499,0.003359525,0.008681922,0.006110075,0.012940204,0.006706295,0.011999775,Terrestrial,4,0.84507875,0.496684432,0.442528393,0.237775208,0.511925627,0.377701119,22,20,NA,8,0,,
Aotus_nancymaae_JN161100.1,Aotus_nancymaae,Primates,Aotidae,Aotus_nancymaae,Primates,Aotidae,Aotus_nancymaae,-72.75535461,-5.52480433,509597.7238,24.54011841,4.297124329,25.03166962,23.70298004,5195.344238,788.01,NA,NA,2438,0.001826333,0.036457,0.050095546,0.00451317,0.0015163,0.00451317,32.18336149,1.271975016,9.279287778,0.549486661,0.000196818,0.000508632,0.00035796,0.000758104,0.000392889,0.000703008,0.003928858,0.010153232,0.007145538,0.015133157,0.007842798,0.014033349,Terrestrial,4,0.504915263,0.285875792,0.42674433,0.250979752,0.511925627,0.377705721,21,19,NA,8.35024,0,,
Apodemus_agrarius_KY851908.1,Apodemus_agrarius,Rodentia,Muridae,Apodemus_agrarius,Rodentia,Muridae,Apodemus_agrarius,70.70951518,48.76724263,11531272.51,6.18572197,104.8750781,20.02203369,-8.461307526,1966.227539,23.3,0.265712329,4,2004,0.001555,0.060370333,0.025757685,0.00696099,0.00197199,0.00696099,36.66514966,0.887056002,13.88312169,0.526301819,0.000112007,0.000393198,0.000294611,0.000615399,0.000301714,0.000542322,0.00434847,0.015265263,0.011437778,0.023891879,0.011713571,0.021054762,Terrestrial,2,0.211525401,0.144954624,0.155087569,0.106259095,0.177648233,0.129216581,31,30,NA,1.381938219,0.000511247,,
Apodemus_chevrieri_HQ896683.1,Apodemus_chevrieri,Rodentia,Muridae,Apodemus_chevrieri,Rodentia,Muridae,Apodemus_chevrieri,104.480269,28.90117793,720258.6123,12.5582222,61.58383301,20.39452515,3.476847076,3869.867188,32.9,NA,NA,2004,0.001570333,0.051343667,0.030584752,0.00703825,0.00196987,0.00703825,36.66514966,0.887056002,13.88312169,0.526301819,0.000113111,0.000397075,0.000297516,0.000621468,0.00030469,0.00054767,0.00369828,0.012982777,0.009727584,0.020319528,0.00996214,0.017906621,Terrestrial,2,0.211525401,0.144954624,0.15693443,0.10864473,0.177648233,0.129252348,31,30,NA,1.518336747,0,,
