"Species.FishBase","Lon","Lat","RangeSize","AnnualTemp","TempRange","TempWarmQuarter","TempColdQuarter","UV","Length","BodyMass","Low_Elev","Up_Elev","Deep","IUCN.Categories","Habitat","Map.Source","Seq.Names","Accession","Species.NCBI","Order.FTL","Family.FTL","Species.FTL","Backbone","MolRateAll","MolRate12nd","MolRate3rd","Clade","dN","dS","W","Clade.Age","Clade.Age.SD","Tip.Age","Tip.Age.SD","dN.Mean","dN.Mid","dN.Min","dN.Max","dN.QL","dN.QU","dS.Mean","dS.Mid","dS.Min","dS.Max","dS.QL","dS.QU","Div.Rate","Div.Rate.DNA","ClaDS.Rate","ClaDS.Rate.DNA","BAMM.Lambda","BAMM.Lambda.DNA","NTR","NTR.DNA"
"Polypterus_palmas",-10.99161811,8.77380964,110002.213974896,25.6989410400391,13.7660693359375,27.9489837646484,23.9510818481445,5564.0458984375,35.29999924,246.69,NA,NA,NA,2,"Freshwater","AquMap","Polypterus_palmas_polli_HM143936.1","HM143936.1","Polypterus_palmas","Polypteriformes","Polypteridae","Polypterus_palmas","Polypteridae",0.00566679,0.00097639,0.03557204,2531,0.00287766666666667,0.0826446666666667,0.0348197504174498,66.65953009,3.23158397329705,13.98965606,1.12490405066752,0.000207032294915326,0.000206415043990162,0.000173577391228119,0.000249716555944434,0.00017865127242713,0.000241995045638528,0.00594582937652455,0.00592810234178812,0.00498502686398151,0.00717169287403305,0.00513074534668691,0.0069499362498949,0.0496228632349054,0.0496228632349054,0.041669217,0.040418518,0.055339047,0.041650593,9,9
"Polypterus_delhezi",19.2217631,0.23540084,480239.650229845,24.075276184082,5.45773010253906,24.9078582763672,23.4396087646484,5355.67529296875,44,485.16,NA,NA,NA,2,"Freshwater","AquMap","Polypterus_delhezi_HM143930.1","HM143930.1","Polypterus_delhezi","Polypteriformes","Polypteridae","Polypterus_delhezi","Polypteridae",0.0069048,0.00126835,0.04075153,2531,0.004255,0.103753,0.0410108623365108,66.65953009,3.23158397329705,13.98965606,1.12490405066752,0.000306123855507256,0.000305211170686253,0.000256656480832496,0.000369238021154952,0.000264158866272711,0.000357820775810935,0.00746445790374719,0.00744220319440911,0.00625825613532643,0.00900342007259454,0.00644119267976324,0.00872502443071962,0.0831290865342613,0.0831290865342613,0.040189629,0.041541156,0.055358566,0.041650593,11,11
"Polyodon_spathula",-91.28097578,39.54445769,1292992.19630234,12.1638946533203,88.497578125,24.0033203125,-0.236903619766235,2668.58349609375,221,101206.55,NA,NA,NA,4,"Freshwater","IUCN","Polyodon_spathula_AY510086.1","AY510086.1","Polyodon_spathula","Acipenseriformes","Polyodontidae","Polyodon_spathula","Polyodontidae",0.00109082,0.00020861,0.00479169,2543,0.00207,0.0779146666666667,0.0265675268669998,120.80020152,0.00200772534481146,63.10010197,0.0010196999999998,3.28050183107348e-05,3.28050713153724e-05,3.27997708516106e-05,3.28050713153724e-05,3.28050713153724e-05,3.28050713153724e-05,0.0012347787761714,0.00123478077126255,0.00123458126214796,0.00123478077126255,0.00123478077126255,0.00123478077126255,0.00669233795641127,0.00669233795641127,0.00878786,0.008523731,0.26040382,0.057561797,5,5
"Psephurus_gladius",115.57936947,30.45494416,225528.947479171,17.9420259475708,52.3935553741455,28.2450582504272,6.98100166320801,3041.96302124023,300,3e+05,NA,NA,NA,6,"Marine&Freshwater","Freshwater GBIF","Psephurus_gladius_AY571339.1","AY571339.1","Psephurus_gladius","Acipenseriformes","Polyodontidae","Psephurus_gladius","Polyodontidae",0.0015988,0.00032367,0.00615422,2543,0.00414133333333333,0.0943703333333333,0.0438838476781192,120.80020152,0.00200772534481146,63.10010197,0.0010196999999998,6.56311670680466e-05,6.56312731114633e-05,6.56206687697922e-05,6.56312731114633e-05,6.56312731114633e-05,6.56312731114633e-05,0.00149556546521263,0.00149556788166931,0.00149532623600166,0.00149556788166931,0.00149556788166931,0.00149556788166931,0.00669233795641127,0.00669233795641127,0.010183067,0.009484176,0.26040382,0.057561797,5,5
"Scaphirhynchus_platorynchus",-96.60783649,40.50530439,753269.464198345,11.2791564941406,94.04447265625,23.8612396240234,-1.8743236541748,2696.82153320312,108,6147.39,NA,NA,NA,4,"Freshwater","IUCN","Scaphirhynchus_platorynchus_MF101788.1","MF101788.1","Scaphirhynchus_platorynchus","Acipenseriformes","Acipenseridae","Scaphirhynchus_platorynchus","Acipenseridae",0.0008019,0.00014668,0.00246013,2543,0.00250333333333333,0.0698713333333333,0.0358277595962102,120.80020152,0.00200772534481146,16.1716424,1.68994618232662,0.000156496551901288,0.00015519521074193,0.000123269615088739,0.000201854681669926,0.000130739898125544,0.000185494713514151,0.00436802506394628,0.00433170291670559,0.00344061745635299,0.00563403025879625,0.00364912290355363,0.00517740198116582,0.140108811176684,0.140108811184536,0.148566403,0.146754345,0.2628397,0.188579971,10,10
"Acipenser_sturio",5.01823358,51.78292387,2101390.16935817,11.5681826591492,32.9466618919373,18.1626955032349,5.59602599143982,1379.98675109863,600,1094864.27,4,93,48.5,6,"Marine&Freshwater","AquMap","Acipenser_sturio_KP997216.1","KP997216.1","Acipenser_sturio","Acipenseriformes","Acipenseridae","Acipenser_sturio","Acipenseridae",0.00108936,0.00018768,0.00374636,2543,0.000827666666666667,0.021903,0.0377878220639486,120.80020152,0.00200772534481146,3.91020898,0.556089036854293,0.000216154963929217,0.000209109380670485,0.000153447330547921,0.000359962748277166,0.00016415224186667,0.000283661362035054,0.00572022816142766,0.00553377700140028,0.00406076143494698,0.00952589296276452,0.00434405141394162,0.00750668724847417,0.00794626515391379,0.00794626515391379,0.029207236,0.029537331,0.2628397,0.111484298,5,5
"Acipenser_oxyrinchus",-70.42380141,40.4881992,911536.147685422,12.2892554283142,45.5492807006836,21.3837938308716,3.46994907855988,2236.16870239258,403,333362.04,1,46,23.5,3,"Marine&Freshwater","AquMap","Acipenser_oxyrinchus_oxyrinchus_KU985073.1","KU985073.1","Acipenser_oxyrinchus","Acipenseriformes","Acipenseridae","Acipenser_oxyrinchus","Acipenseridae",0.00132524,0.00024583,0.00413634,2543,0.00137166666666667,0.025798,0.0531694963433858,120.80020152,0.00200772534481146,3.91020898,0.556089036854293,0.0003582270143249,0.000346550584558617,0.000254303570360329,0.000596555259428328,0.000272044492662645,0.00047010330437948,0.00673745359578646,0.00651784591526843,0.00478288469610383,0.0112198779460987,0.00511655199638707,0.00884159784669391,0.014107216120986,0.014107216120986,0.053516667,0.049015575,0.2628397,0.111484298,6,6
"Huso_dauricus",133.59621671,48.4648022,265102.296510157,3.99360041618347,83.4261195755005,18.7238273620605,-10.4772022128105,1738.63393432617,560,1696103.91,NA,NA,NA,6,"Marine&Freshwater","Freshwater GBIF","Huso_dauricus_MK078264.1","MK078264.1","Huso_dauricus","Acipenseriformes","Acipenseridae","Huso_dauricus","Acipenseridae",0.00036849,8.831e-05,0.00115708,2543,0.000321333333333333,0.0111993333333333,0.0286921840585749,120.80020152,0.00200772534481146,2.61485866,0.439441880551008,0.000126478386479736,0.000125475736682882,8.27172869004477e-05,0.000207547092629086,9.46100583007862e-05,0.000178047945329988,0.0044081128930977,0.00437316784343513,0.00288292054489755,0.00723357595243985,0.00329741570413881,0.00620545110705076,0.0690267964865924,0.0690267964865924,0.108574597,0.108586634,0.2628397,0.188579971,9,9
"Acipenser_medirostris",-130.88456595,50.86856627,404286.905067639,8.93498802185059,27.6422876358032,14.2110630989075,4.37883305549622,1351.57875976562,270,116720.19,0,80,40,3,"Marine&Freshwater","AquMap","Acipenser_medirostris_KM591217.1","KM591217.1","Acipenser_medirostris","Acipenseriformes","Acipenseridae","Acipenser_medirostris","Acipenseridae",0.00062034,0.00012256,0.00176339,2543,0.000789333333333333,0.018946,0.0416622682008515,120.80020152,0.00200772534481146,2.61485863,0.439441783022798,0.000310685496483673,0.000308222556117883,0.000203189352054212,0.000509825223387629,0.000232403130763757,0.000437362587698559,0.00745723912548099,0.00739812231614367,0.00487705928718635,0.0122370971481867,0.0055782639976142,0.0104978102869978,0.133530090122648,0.13353009012978,0.141700846,0.11761309,0.2628397,0.188579971,10,10
"Acipenser_transmontanus",-124.2450399,44.43581983,273644.88641871,11.1436985015869,26.1395650100708,16.0219711303711,6.91252470016479,1578.03356079102,610,2287116.42,1,122,61.5,2,"Marine&Freshwater","AquMap","Acipenser_transmontanus_NC_004743.1","NC_004743.1","Acipenser_transmontanus","Acipenseriformes","Acipenseridae","Acipenser_transmontanus","Acipenseridae",0.00029625,7.65e-05,0.00089345,2543,0.000229,0.00465566666666667,0.0491873702298274,120.80020152,0.00200772534481146,1.34237566,0.522068787245246,0.000202555963025148,0.00017327047079947,6.56370346506218e-05,0.000601942513175707,9.51976882653494e-05,0.000466292649449625,0.004118048232274,0.00352266181318224,0.00133442862149234,0.012237745387955,0.00193540918777603,0.00947992639718037,0.102644605008843,0.102644605008843,0.092901513,0.108119009,0.2628397,0.188579971,10,10
"Acipenser_schrenckii",130.03770076,48.01073092,274275.341537563,2.61988906860352,149.058193359375,21.1724151611328,-19.5386566162109,1808.919921875,300,419746.53,NA,NA,NA,6,"Freshwater","Freshwater GBIF","Acipenser_schrenckii_MH973731.1","MH973731.1","Acipenser_schrenckii","Acipenseriformes","Acipenseridae","Acipenser_schrenckii","Acipenseridae",0.00031434,7.021e-05,0.00097909,2543,0.000137333333333333,0.00555833333333333,0.0247076461769115,120.80020152,0.00200772534481146,1.34237566,0.522068787245246,0.000121474609558021,0.000103911839838984,3.93631124833423e-05,0.000360990269910322,5.70908989306025e-05,0.000279639842173574,0.00491647843296119,0.00420565516824042,0.00159315509868867,0.0146104678416374,0.00231065713511601,0.0113179474957387,0.102644605008843,0.102644605008843,0.086109361,0.10603488,0.2628397,0.188579971,10,10
"Acipenser_sinensis",116.25281902,23.5379401,56333.0714585635,22.7103031158447,33.2204259490967,28.4960439682007,15.6048267364502,3764.7390625,130,6e+05,1,20,10.5,6,"Marine&Freshwater","AquMap","Acipenser_sinensis_KJ174513.1","KJ174513.1","Acipenser_sinensis","Acipenseriformes","Acipenseridae","Acipenser_sinensis","Acipenseridae",0.00084003,0.00019081,0.00235431,2543,0.00146166666666667,0.037838,0.038629596349349,120.80020152,0.00200772534481146,3.72848205,0.498971911223232,0.000399592781548379,0.000390371264968505,0.000302194608227949,0.000640767108554862,0.000314664526363095,0.000524206500815766,0.0103442132279778,0.010105496869244,0.00782287771000854,0.0165874658062706,0.00814568507310841,0.0135700745116536,0.0655958602673971,0.0655958602673971,0.101472117,0.110187576,0.2628397,0.188579971,9,9
"Huso_huso",29.93034512,41.90899516,204000.242627322,15.3282350540161,45.8438775634766,24.7427619934082,6.53719806671143,1412.19107666016,800,3428960.28,70,180,125,6,"Marine&Freshwater","AquMap","Huso_huso_AY442351.1","AY442351.1","Huso_huso","Acipenseriformes","Acipenseridae","Huso_huso","Acipenseridae",0.00032406,9.265e-05,0.00090611,2543,0.001109,0.0236913333333333,0.0468103666601007,120.80020152,0.00200772534481146,5.19788305,0.621860856661297,0.000216338047149057,0.000216588303918683,0.000166626299730213,0.000274934092670391,0.000171485925803809,0.000265902679902228,0.00462158411874723,0.00462693030138759,0.00355960253292009,0.00587335909301334,0.00366341770080551,0.00568042292496872,0.0559618143056112,0.0559618143056112,0.132626284,0.121488214,0.2628397,0.188579971,9,9
"Pseudoscaphirhynchus_kaufmanni",61.36823212,44.47437544,895812.563451749,12.0035171508789,111.7394140625,26.9477172851563,-3.29426040649414,2651.07592773438,75,2000,NA,NA,NA,6,"Freshwater","Freshwater GBIF","Pseudoscaphirhynchus_kaufmanni_MN746333.1","MN746333.1","Pseudoscaphirhynchus_kaufmanni","Acipenseriformes","Acipenseridae","Pseudoscaphirhynchus_kaufmanni","Acipenseridae",0.00095833,0.00014471,0.00300405,2543,0.000460333333333333,0.0178883333333333,0.0257337184384608,120.80020152,0.00200772534481146,1.86192564,0.344875128582738,0.000256207115623497,0.000245204971842917,0.000168264447866593,0.000414170695908737,0.000179169461228945,0.000368177508590037,0.00995608606801954,0.00952854801879085,0.00653867602806714,0.0160944753048098,0.00696243963566354,0.0143072020264188,0.240648344368953,0.277442795819188,0.212650768,0.188214429,0.2628397,0.188579971,13,13
"Acipenser_stellatus",33.39500649,43.3382552,292631.995933297,14.1662824630737,48.1640089797974,24.3311767578125,4.62181544303894,1817.47106933594,250,34476.41,10,100,55,6,"Marine&Freshwater","AquMap","Acipenser_stellatus_NC_005795.1","NC_005795.1","Acipenser_stellatus","Acipenseriformes","Acipenseridae","Acipenser_stellatus","Acipenseridae",0.00073956,0.00011286,0.00230188,2543,0.000605666666666667,0.01192,0.0508109619686801,120.80020152,0.00200772534481146,1.86192564,0.344875128582738,0.000337095097094783,0.000322619430730326,0.000221387763775235,0.000544929872893683,0.000235735634361328,0.000484416026870454,0.00663429866379165,0.00634940607755447,0.00435708664425009,0.0107246517637194,0.00463946410828898,0.00953369131584339,0.148429081171413,0.148429081171413,0.162578704,0.15033813,0.2628397,0.188579971,12,12
"Acipenser_nudiventris",34.52601219,44.9668049,89445.8288440076,13.4611601829529,53.2063917541504,24.4450323104858,2.9005886554718,1965.19448242187,211,145014.35,30,60,45,6,"Marine&Freshwater","AquMap","Acipenser_nudiventris_KU321568.1","KU321568.1","Acipenser_nudiventris","Acipenseriformes","Acipenseridae","Acipenser_nudiventris","Acipenseridae",0.0003606,7.984e-05,0.00109244,2543,0.000554666666666667,0.0169776666666667,0.0326703708793906,120.80020152,0.00200772534481146,3.09116233,0.506504035498279,0.000184668882542834,0.000178713389774752,0.000130696284455436,0.000314356158348602,0.000140115007258612,0.000250637499929483,0.00565248809768879,0.00547019776526289,0.00400045303856294,0.00962205661849121,0.00428874859657625,0.00767170660090648,0.131318388949035,0.131318388949035,0.143516128,0.117449326,0.2628397,0.188579971,12,12
"Acipenser_ruthenus",36.66779387,53.07068832,2409654.35291911,6.13879318237305,94.9132421875,18.8544891357422,-6.7136116027832,1649.18603515625,125,19461.02,NA,NA,NA,4,"Freshwater","AquMap","Acipenser_ruthenus_KF153104.1","KF153104.1","Acipenser_ruthenus","Acipenseriformes","Acipenseridae","Acipenser_ruthenus","Acipenseridae",0.00057202,0.00010301,0.00166249,2543,0.00051,0.027489,0.0185528756957328,120.80020152,0.00200772534481146,3.09116233,0.506504035498279,0.000169797710511139,0.000164321806703949,0.000120171463471645,0.000289041419635434,0.000128831707395238,0.000230453951257277,0.0091520965965504,0.00885694538134284,0.00647724188112168,0.0155793325183499,0.00694402902860333,0.0124214679727673,0.307023670794788,0.307023670794788,0.169199212,0.218349254,0.2628397,0.188512281,13,13
"Acipenser_fulvescens",-85.91079671,45.28894231,1355127.34520998,6.50823059082031,101.55322265625,19.8766860961914,-7.84087524414062,2103.65673828125,274,409864.52,NA,NA,NA,2,"Freshwater","Freshwater GBIF","Acipenser_fulvescens_KU985082.2","KU985082.2","Acipenser_fulvescens","Acipenseriformes","Acipenseridae","Acipenser_fulvescens","Acipenseridae",0.00053971,8.696e-05,0.00156195,2543,0.000604666666666667,0.022963,0.0263322155932007,120.80020152,0.00200772534481146,2.49853506,0.530718088161288,0.000251376679645444,0.000247036083747825,0.000107193334583725,0.00042615982308964,0.000178020098167421,0.000370147300660743,0.00954635506289691,0.00938151531053139,0.00407080574759551,0.0161839713631875,0.00676054384931392,0.0140568232608699,0.205315479888116,0.205315479888116,0.16789671,0.16577761,0.2628397,0.188512281,13,13
"Acipenser_brevirostrum",-73.28344791,38.80902495,296142.955076126,14.2278949737549,45.6167650985718,23.0143564224243,5.44406442642212,2354.11155029297,143,24007.74,6,53,29.5,4,"Marine&Freshwater","AquMap","Acipenser_brevirostrum_KX817302.2","KX817302.2","Acipenser_brevirostrum","Acipenseriformes","Acipenseridae","Acipenser_brevirostrum","Acipenseridae",0.00030772,4.954e-05,0.00101077,2543,0.000287333333333333,0.00910366666666667,0.0315623741349639,120.80020152,0.00200772534481146,2.07797591,0.45036855781027,0.000143024243590089,0.000141621352617862,5.53754675115601e-05,0.000202643963020063,0.000103553172224381,0.000194850451188765,0.00453147925369943,0.00448703104564552,0.00175447725430188,0.00642042839215885,0.00328090566893281,0.00617350426034381,0.205315479888116,0.205315479888116,0.190722913,0.181346154,0.2628397,0.188512281,13,13
"Acipenser_baerii",10.99548037,53.19771638,223897.532930058,9.14769134521484,60.39736328125,17.7310180664062,1.19164590835571,1580.67041015625,200,195030.15,NA,NA,NA,5,"Freshwater","Freshwater GBIF","Acipenser_baerii_MW856903.1","MW856903.1","Acipenser_baerii","Acipenseriformes","Acipenseridae","Acipenser_baerii","Acipenseridae",0.00019856,5.181e-05,0.00063198,2543,0.000241666666666667,0.003812,0.0633962924099335,120.80020152,0.00200772534481146,2.07710045,0.448403431192987,0.00012032867612924,0.000119141480264844,4.67692571287314e-05,0.000170486264450768,8.7106026364581e-05,0.000163907206298546,0.00189803964167446,0.00187931305973621,0.000737728585550583,0.00268921506242619,0.00137399243793841,0.00258543836031747,0.223412746153572,0.223412746153572,0.19506897,0.178512758,0.2628397,0.188512281,13,13
"Acipenser_gueldenstaedtii",32.14341799,43.81571372,150942.77565111,14.2514211654663,49.5517971420288,24.644916343689,4.40232300758362,1810.04162597656,236,79286.44,2,100,51,6,"Marine&Freshwater","AquMap","Acipenser_gueldenstaedtii_KJ789859.1","KJ789859.1","Acipenser_gueldenstaedtii","Acipenseriformes","Acipenseridae","Acipenser_gueldenstaedtii","Acipenseridae",0.00039084,0.00011947,0.00094234,2543,0.00130833333333333,0.00740133333333333,0.176769951360115,120.80020152,0.00200772534481146,2.07710037,0.448403387641166,0.000651434575993184,0.000645007324192431,0.000253199081696925,0.000922976711592705,0.000471573915645015,0.000887359988720305,0.00368521103830641,0.00364885162455254,0.00143236494522256,0.00522134392463807,0.0026677266810145,0.00501985762790972,0.191677636275775,0.191677636275775,0.18526377,0.21064083,0.2628397,0.188512281,12,12
"Amia_calva",-86.18192131,38.45177477,2223344.48692644,12.9675704956055,83.044033203125,23.9189804077148,1.29879684448242,2742.55444335938,109,17389.79,NA,NA,NA,2,"Freshwater","Freshwater GBIF","Amia_calva_AY442347.1","AY442347.1","Amia_calva","Amiiformes","Amiidae","Amia_calva","Amiidae",0.00159554,0.00031764,0.00683931,2562,0.016599,0.749238333333333,0.0221544991246666,251.20036715,0.00366927780132863,251.20036693,0.00366930000000139,6.60787251482449e-05,6.6078821656051e-05,6.60691708754501e-05,6.6078821656051e-05,6.6078821656051e-05,6.6078821656051e-05,0.00298263232115564,0.00298263667728238,0.00298220106460856,0.00298263667728238,0.00298263667728238,0.00298263667728238,0.0034684837913354,0.0034684837913354,0.005378046,0.006759659,0.05174284,0.052200719,5,5
