Seq.Names,Species.NCBI,Order.BL,Family.BL,Species.BL,Order.IOC,Family.IOC,Species.IOC,,Migration,Lon,Lat,RangeSize,AnnualTemp,TempRange,TempWarmQuarter,TempColdQuarter,UV,Habitat,Clade,dN,dS,W,MolRateAll,MolRate12nd,MolRate3rd,Clade.Age,Clade.Age.SD,Tip.Age,Tip.Age.SD,dN.Mean,dN.Mid,dN.Min,dN.Max,dN.QL,dN.QU,dS.Mean,dS.Mid,dS.Min,dS.Max,dS.QL,dS.QU,BodyMass,Island,IUCN.Categories,Population,Div.Rate,Div.Rate.DNA,BAMM.Lambda,BAMM.Lambda.DNA,ClaDS.Rate,ClaDS.Rate.DNA,NTR,NTR.DNA,AFR,MaxLongevity,Generation
Amblyramphus_holosericeus_JX516063.1,Amblyramphus_holosericeus,PASSERIFORMES,Icteridae,Amblyramphus_holosericeus,PASSERIFORMES,Icteridae,Amblyramphus_holosericeus,Resident,1,-56.99491826,-26.60671315,1580707.217,20.79038696,35.66296875,25.3207901,15.48119202,4107.980469,Terrestrial,1156,0.002105,0.078625,0.026772655,0.01037884,0.002666,0.02433394,10.84211786,1.158565689,4.22971331,1.033278906,0.000529354,0.000496273,0.000341537,0.000885006,0.000348855,0.000791621,0.019772199,0.018536554,0.012756952,0.03305634,0.01303027,0.029568278,56.8,0,2,980911,0.187293976,0.171243487,0.201930623,0.182511151,0.195412354,0.140452326,45,47,1.350894597,11.11760028,3.195638548
Curaeus_curaeus_JX516070.1,Curaeus_curaeus,PASSERIFORMES,Icteridae,Curaeus_curaeus,PASSERIFORMES,Icteridae,Curaeus_curaeus,Short distance migrant,2,-71.95294356,-44.57895321,620973.2314,7.603804779,34.8775293,12.44335785,2.811410141,2509.294922,Terrestrial,1156,0.001741,0.070062,0.024849419,0.01018187,0.00269794,0.02378636,10.84211786,1.158565689,4.22971331,1.033278906,0.000437817,0.000410456,0.000282478,0.000731969,0.00028853,0.000654733,0.017618821,0.016517749,0.0113676,0.029456194,0.011611152,0.026348015,83.7,0,2,2848692,0.230541839,0.171243487,0.201910851,0.182516228,0.159340167,0.135823763,46,47,1.508556087,12.26366063,3.592793873
Macroagelaius_imthurni_JX516073.1,Macroagelaius_imthurni,PASSERIFORMES,Icteridae,Macroagelaius_imthurni,PASSERIFORMES,Icteridae,Macroagelaius_imthurni,Resident,1,-62.60506629,5.20044392,58909.67711,22.23546143,5.21241394,22.92030945,21.3949234,5671.655762,Terrestrial,1156,0.003125,0.095196,0.03282701,0.0109138,0.00338712,0.023907,10.84211786,1.158565689,4.36738313,1.165637508,0.00077184,0.000711927,0.000463148,0.001473139,0.000485819,0.001180333,0.023512353,0.021687227,0.014108753,0.044875811,0.014799375,0.035956167,77.8,0,2,77021,0.217476135,0.139196409,0.202309682,0.18245948,0.145053856,0.118089904,46,46,1.395331633,11.00372972,3.807137346
Gymnomystax_mexicanus_JX516075.1,Gymnomystax_mexicanus,PASSERIFORMES,Icteridae,Gymnomystax_mexicanus,PASSERIFORMES,Icteridae,Gymnomystax_mexicanus,Resident,1,-64.4819023,1.49970483,1563861.271,25.56433868,6.655646973,26.60759888,24.64625244,5403.655762,Terrestrial,1156,0.002712667,0.073711333,0.036801216,0.0089678,0.00295319,0.02003418,10.84211786,1.158565689,4.36738313,1.165637508,0.000669999,0.00061799,0.000402037,0.001278763,0.000421717,0.001024592,0.01820588,0.016792664,0.010924566,0.034747845,0.011459323,0.027841265,98,0,2,3010276,0.159303496,0.166236581,0.202132769,0.182433902,0.159509893,0.095359331,45,47,1.606983095,12.19194174,3.658248211
Quiscalus_mexicanus_MN356197.1,Quiscalus_mexicanus,PASSERIFORMES,Icteridae,Quiscalus_mexicanus,PASSERIFORMES,Icteridae,Quiscalus_mexicanus,Resident,1,-101.5656349,29.43006833,5121815.068,17.42623138,59.87393555,25.40260773,8.987516022,4020.469482,Terrestrial,1156,0.001222,0.038494667,0.031744657,0.00951403,0.00247633,0.02168596,10.84211786,1.158565689,2.56093209,0.580748577,0.000503477,0.000488327,0.000298755,0.000973371,0.000313062,0.000850894,0.0158602,0.015382979,0.009411204,0.030662511,0.009861866,0.026804334,160.5,0.017857143,2,37019015,0.658198245,0.616882454,0.203803463,0.183699617,0.245444819,0.169697607,49,49,1.180286709,13.88403193,3.255220394
Quiscalus_quiscula_JX516064.1,Quiscalus_quiscula,PASSERIFORMES,Icteridae,Quiscalus_quiscula,PASSERIFORMES,Icteridae,Quiscalus_quiscula,Short distance migrant,2,-94.45220829,44.85976885,8216640.268,7.422724915,99.72325195,20.53719025,-6.589577484,2296.67041,Terrestrial,1156,0.000596,0.032931,0.018098448,0.00889947,0.00223381,0.02120855,10.84211786,1.158565689,2.56093209,0.580748577,0.000245558,0.00023817,0.000145711,0.000474737,0.000152688,0.000415002,0.013567912,0.013159664,0.008050995,0.026230832,0.008436523,0.022930281,105.2,0.001206273,3,187073093,0.232866796,0.203045004,0.203669182,0.183636935,0.29294217,0.207645105,46,46,1,22.92,4.115782122
Euphagus_cyanocephalus_JX516072.1,Euphagus_cyanocephalus,PASSERIFORMES,Icteridae,Euphagus_cyanocephalus,PASSERIFORMES,Icteridae,Euphagus_cyanocephalus,Short distance migrant,2,-110.70457,46.90116312,5280448.269,5.95846405,93.435625,18.71749573,-6.871536255,2284.697266,Terrestrial,1156,0.001049667,0.076788667,0.013669552,0.00913953,0.00223356,0.0220829,10.84211786,1.158565689,3.32883953,0.711072717,0.000330969,0.000307376,0.000201663,0.00057568,0.000226575,0.000503819,0.024212131,0.022486149,0.014752687,0.042114034,0.016575173,0.036856995,62.5,0.005873715,2,109369835,0.207056597,0.190653832,0.203047776,0.182665065,0.189240536,0.13825437,46,46,1.084207982,12.5,2.706886845
Dives_dives_JX516061.1,Dives_dives,PASSERIFORMES,Icteridae,Dives_dives,PASSERIFORMES,Icteridae,Dives_dives,Resident,1,-90.56304571,17.0696512,592160.7987,24.30893707,16.30023804,26.26601868,21.75730743,4845.399902,Terrestrial,1156,0.002455667,0.094418,0.026008459,0.00839637,0.00242219,0.01978263,10.84211786,1.158565689,5.26312157,1.306161808,0.000498475,0.000455226,0.000302412,0.000816943,0.000329098,0.00074738,0.019165888,0.017502986,0.011627429,0.031410672,0.012653499,0.028736052,91.3,0.051282051,2,3448406,0.241443055,0.189550078,0.202583552,0.18235231,0.137978827,0.075427112,46,47,1.512212582,10.74651334,3.623918248
Agelaius_phoeniceus_KM078767.1,Agelaius_phoeniceus,PASSERIFORMES,Icteridae,Agelaius_phoeniceus,PASSERIFORMES,Icteridae,Agelaius_phoeniceus,Long distance migrant,3,-102.7841228,44.77756895,13703226.95,7.500219727,92.6752832,19.86131897,-5.371138382,2431.124512,Terrestrial,1156,0.001667333,0.114854,0.014516981,0.00872246,0.00206354,0.02172447,10.84211786,1.158565689,5.3669402,1.369829724,0.000333528,0.000306184,0.000202087,0.000614292,0.000221839,0.00052159,0.022975053,0.021091461,0.013920705,0.042315422,0.015281318,0.035929678,50.8,0.013370866,2,418284484,0.206951481,0.179419476,0.202156745,0.182509964,0.181813851,0.109476453,47,47,1.510333407,15.8,4.27953597
Molothrus_aeneus_JX516067.1,Molothrus_aeneus,PASSERIFORMES,Icteridae,Molothrus_aeneus,PASSERIFORMES,Icteridae,Molothrus_aeneus,Short distance migrant,1,-99.65579192,23.23468955,2518193.732,20.95799866,37.41203369,25.72825928,15.48139191,4643.736328,Terrestrial,1156,0.002048,0.094645,0.021638755,0.00781838,0.00193414,0.01942609,10.84211786,1.158565689,5.36694019,1.369829752,0.000409676,0.000376089,0.000248225,0.00075454,0.000272486,0.000640674,0.018932505,0.017380338,0.011471304,0.034869862,0.012592512,0.029607714,62.6,0.028880866,2,8054538,0.395817761,0.349163853,0.203204789,0.183684672,0.229799094,0.169924012,48,48,1.133547399,9.251078007,2.459147624
Nesopsar_nigerrimus_JX516054.1,Nesopsar_nigerrimus,PASSERIFORMES,Icteridae,Nesopsar_nigerrimus,PASSERIFORMES,Icteridae,Nesopsar_nigerrimus,Resident,2,-77.09972766,18.16190088,1727.910837,23.70120392,9.795674438,24.91812897,22.28164825,4499.093262,Terrestrial,1156,0.002035,0.094258333,0.021589603,0.0067611,0.00179887,0.01731637,10.84211786,1.158565689,7.57576028,1.425722773,0.00027867,0.000269498,0.000185402,0.000450559,0.000203464,0.000391282,0.012907598,0.012482771,0.00858756,0.020869247,0.009424164,0.018123632,39,1,5,345,0.135836708,0.124736299,0.202330777,0.183088523,0.211495933,0.158711102,44,45,1.409178133,10.84094005,3.714796537
Icterus_bullockii_FJ236287.1,Icterus_bullockii,PASSERIFORMES,Icteridae,Icterus_bullockii,PASSERIFORMES,Icteridae,Icterus_bullockii,Long distance migrant,3,-110.6177279,38.24701542,3649427.508,11.89179993,78.24580566,22.89268646,1.270567226,3271.693604,Terrestrial,1156,0.0023,0.11799,0.019493177,0.00715581,0.00211202,0.01760936,10.84211786,1.158565689,6.99552788,0.852537656,0.000333672,0.00033222,0.000262253,0.000455643,0.000266149,0.000408647,0.017117386,0.017042905,0.013453573,0.023374488,0.013653422,0.0209636,37.9,0.015544041,2,5303019,0.470594683,0.392974149,0.204682646,0.184332676,0.245126295,0.189978238,47,47,1.237514727,9.242941433,2.595343415
Icterus_mesomelas_JX516068.1,Icterus_mesomelas,PASSERIFORMES,Icteridae,Icterus_mesomelas,PASSERIFORMES,Icteridae,Icterus_mesomelas,Resident,1,-82.83325471,11.06339922,995703.9783,24.40782318,9.785284424,25.60345764,22.88884735,5077.291504,Terrestrial,1156,0.002338667,0.102548333,0.022805506,0.00686617,0.00195128,0.01722606,10.84211786,1.158565689,6.99552788,0.852537656,0.000339282,0.000337806,0.000266662,0.000463303,0.000270623,0.000415517,0.014877188,0.014812455,0.011692868,0.020315407,0.011866562,0.018220038,39.9,0.033333333,2,978338,0.133046579,0.134197692,0.202531154,0.182116597,0.216852094,0.165497792,43,44,1.459528424,9.359855894,4.098724318
Sturnella_neglecta_FJ236288.1,Sturnella_neglecta,PASSERIFORMES,Icteridae,Sturnella_neglecta,PASSERIFORMES,Icteridae,Sturnella_neglecta,Short distance migrant,2,-107.1298276,42.6163378,6718977.814,9.002232361,88.62916992,21.09154358,-3.206640244,2700.597168,Terrestrial,1156,0.003329333,0.229464667,0.014509133,0.00649974,0.00167272,0.0183436,10.84211786,1.158565689,10.84211713,1.15856561,0.000310544,0.000305074,0.0002328,0.000389494,0.000253931,0.000374376,0.021403332,0.021026324,0.016045053,0.02684478,0.017501486,0.02580275,100.1,0.010174419,2,214156433,0.325567878,0.183132386,0.202382044,0.183225864,0.11585306,0.077600636,43,43,1.076315071,12.36467231,2.680879929
Dendroica_coronata_FJ236285.1,Dendroica_coronata,PASSERIFORMES,Parulidae,Dendroica_coronata,PASSERIFORMES,Parulidae,Setophaga_coronata,Long distance migrant,3,-108.0870161,56.69715185,7207362.839,-1.189871502,118.2294336,14.42835693,-17.4713501,1435.180298,Terrestrial,1179,0.001042,0.072523667,0.014367724,0.01114523,0.00202959,0.0292963,5.28994128,0.831608834,3.31251165,0.522982115,0.000322378,0.000316654,0.000204589,0.000489015,0.000236278,0.00043001,0.022437646,0.022039258,0.014239458,0.034035695,0.016445027,0.029928897,11.9,0.00075188,2,260880003,0.22672457,0.235860361,0.203128732,0.18251285,0.235518613,0.201243164,51,54,0.995257393,10,2.275221628
Setophaga_kirtlandii_MN356209.1,Setophaga_kirtlandii,PASSERIFORMES,Parulidae,Dendroica_kirtlandii,PASSERIFORMES,Parulidae,Setophaga_kirtlandii,Long distance migrant,3,-87.65183908,45.36691823,37549.57085,6.23036232,97.60243164,19.23986664,-7.463118744,2099.019531,Terrestrial,1179,0.001066,0.077540667,0.013747625,0.0113856,0.00199429,0.03039315,5.28994128,0.831608834,3.31251165,0.522982115,0.000329803,0.000323947,0.000209301,0.000500279,0.00024172,0.000439914,0.023989825,0.023563877,0.015224507,0.036390196,0.017582652,0.031999301,13.9,0,3,140417,0.216085611,0.210939718,0.202112616,0.182599014,0.170004683,0.178611251,50,53,1.051305094,9,2.181159176
Cardellina_canadensis_MK033135.1,Cardellina_canadensis,PASSERIFORMES,Parulidae,Wilsonia_canadensis,PASSERIFORMES,Parulidae,Cardellina_canadensis,Long distance migrant,3,-87.4907358,49.76935891,2768373.431,2.741632652,112.4515332,17.22397919,-13.29490356,1752.82251,Terrestrial,1179,0.001369,0.122904,0.011138775,0.01019037,0.0018797,0.02863296,5.28994128,0.831608834,4.70878534,0.62152302,0.000296038,0.000289206,0.000219991,0.000433025,0.000231247,0.00039797,0.026577208,0.02596388,0.019750014,0.038875451,0.020760537,0.035728327,10,0.001315789,2,3538974,0.166334355,0.165771777,0.202137185,0.18256054,0.238627737,0.210819459,45,48,1.037723801,8,2.048246608
Vermivora_celata_FJ236284.1,Vermivora_celata,PASSERIFORMES,Parulidae,Vermivora_celata,PASSERIFORMES,Parulidae,Leiothlypis_celata,Long distance migrant,3,-117.2728585,55.11234292,7482895.144,0.336509061,108.9312988,14.93946686,-14.51829987,1625.010376,Terrestrial,1179,0.001139333,0.09999,0.011394473,0.00953644,0.00184104,0.02643867,5.28994128,0.831608834,4.31349564,0.699746318,0.000271192,0.000269191,0.000180321,0.000424043,0.000200389,0.000380295,0.023800273,0.023624702,0.015825324,0.03721479,0.01758647,0.033375423,9.2,0.002855103,2,68141881,0.266377635,0.222977983,0.204245023,0.186574597,0.237227416,0.223550692,45,45,1.029202562,8.42,2.079755232
Oporornis_tolmiei_FJ236286.1,Oporornis_tolmiei,PASSERIFORMES,Parulidae,Oporornis_tolmiei,PASSERIFORMES,Parulidae,Geothlypis_tolmiei,Long distance migrant,3,-119.1512759,47.73570287,2622229.475,5.104980469,78.05297852,16.21108551,-5.337070084,2243.667969,Terrestrial,1179,0.001384333,0.101686667,0.013613715,0.00986464,0.00199779,0.02627586,5.28994128,0.831608834,4.31349564,0.699746318,0.000329508,0.000327077,0.000219097,0.000515228,0.00024348,0.000462073,0.024204125,0.024025575,0.016093854,0.037846264,0.017884884,0.033941749,10.4,0.010507881,2,9399663,0.351735609,0.348597176,0.204767167,0.183300587,0.132962187,0.11946294,47,50,1,10.91666667,2.409588172
Emberiza_sulphurata_KY419885.1,Emberiza_sulphurata,PASSERIFORMES,Emberizidae,Emberiza_sulphurata,PASSERIFORMES,Emberizidae,Emberiza_sulphurata,Long distance migrant,3,139.4752182,37.9187114,111789.5913,10.68834686,81.8742334,22.49049835,-0.354459143,2391.747314,Terrestrial,1214,0.000819333,0.065859333,0.012440656,0.00807094,0.00182993,0.02056596,13.17686962,1.555581544,2.73223496,0.514832933,0.00031134,0.000297794,0.000196394,0.000518919,0.000225285,0.000456883,0.025026041,0.0239372,0.015786465,0.041711528,0.01810878,0.036725028,14.9,0.047619048,4,763862,0.218553366,0.194299249,0.202394148,0.182453725,0.161474118,0.092242792,47,48,0.937513086,7.63023602,1.936805179
Emberiza_spodocephala_KC758647.1,Emberiza_spodocephala,PASSERIFORMES,Emberizidae,Emberiza_spodocephala,PASSERIFORMES,Emberizidae,Emberiza_spodocephala,Long distance migrant,3,118.3069201,52.61424656,4863864.08,-2.30999279,148.3025586,17.03405304,-23.57778168,1644.144531,Terrestrial,1214,0.000916333,0.058583333,0.015641536,0.00792107,0.0018088,0.02019603,13.17686962,1.555581544,2.73223496,0.514832933,0.0003482,0.00033305,0.000219645,0.000580353,0.000251956,0.000510973,0.022261217,0.021292669,0.01404241,0.037103327,0.01610816,0.032667724,18.5,0.015873016,2,9974584,0.218553366,0.194299249,0.202583746,0.182401324,0.155441932,0.109248338,47,48,1.012847176,6.994130226,2.098737936
Emberiza_aureola_KF111713.1,Emberiza_aureola,PASSERIFORMES,Emberizidae,Emberiza_aureola,PASSERIFORMES,Emberizidae,Emberiza_aureola,Long distance migrant,3,101.5101292,58.93598314,15148960.75,-3.420469284,142.3458984,15.68792572,-22.99450378,1351.066772,Terrestrial,1214,0.001917667,0.071912333,0.026666728,0.00751186,0.00202862,0.01822856,13.17686962,1.555581544,4.17690602,0.612530276,0.000470286,0.000452432,0.000349861,0.000792261,0.000362881,0.000639445,0.017635686,0.016966179,0.013119739,0.029709726,0.013608,0.02397912,19.6,0.010578718,7,9174464,0.326781596,0.210064957,0.202383174,0.182884636,0.140625132,0.078509239,48,49,1,8.712633725,2.096299556
Emberiza_pusilla_KC407232.1,Emberiza_pusilla,PASSERIFORMES,Emberizidae,Emberiza_pusilla,PASSERIFORMES,Emberizidae,Emberiza_pusilla,Long distance migrant,3,104.3935822,62.99024664,9993530.445,-6.077637863,149.1318652,14.26135254,-26.18144226,1185.369751,Terrestrial,1214,0.000963,0.07447,0.012931382,0.00817251,0.00191838,0.0206495,13.17686962,1.555581544,3.25013472,0.586293411,0.000307569,0.00029648,0.000222481,0.000602257,0.000224374,0.000478195,0.023784715,0.022927151,0.017204725,0.046573324,0.017351137,0.036979406,14.6,0,2,13437476,0.254811867,0.181219925,0.20211656,0.182405878,0.149287356,0.121183483,48,48,1,7.917435815,1.983267466
Emberiza_rustica_KC831775.1,Emberiza_rustica,PASSERIFORMES,Emberizidae,Emberiza_rustica,PASSERIFORMES,Emberizidae,Emberiza_rustica,Long distance migrant,3,100.2861825,61.42073258,11090010.05,-4.557271194,142.8218457,14.83851166,-23.99307404,1224.227417,Terrestrial,1214,0.001120333,0.070679333,0.015850932,0.00850118,0.00203504,0.02096317,13.17686962,1.555581544,3.25013472,0.586293411,0.000357819,0.000344918,0.000258829,0.000700653,0.000261032,0.000556321,0.022574027,0.021760115,0.016328972,0.044202652,0.016467931,0.035097083,20.5,0.006445672,4,12275576,0.172556989,0.121906269,0.201922587,0.182827867,0.151947568,0.134910324,45,45,1,8.420361857,2.054755055
Emberiza_tristrami_HQ896035.1,Emberiza_tristrami,PASSERIFORMES,Emberizidae,Emberiza_tristrami,PASSERIFORMES,Emberizidae,Emberiza_tristrami,Long distance migrant,3,134.743455,47.91813782,423016.557,0.472140265,139.8606348,18.25792999,-20.29931183,1752.205566,Terrestrial,1214,0.001254,0.054482333,0.023016635,0.00669966,0.00179625,0.01686035,13.17686962,1.555581544,4.05461121,0.692873302,0.000319599,0.000307,0.00022509,0.000556419,0.000242047,0.000474947,0.013885555,0.013338186,0.009779464,0.024174638,0.010516173,0.020634946,18,0,2,1612257,0.375705083,0.243048044,0.202003937,0.182756897,0.146577831,0.111374897,48,48,0.936241936,8.006916516,1.941291272
Emberiza_chrysophrys_HQ896034.1,Emberiza_chrysophrys,PASSERIFORMES,Emberizidae,Emberiza_chrysophrys,PASSERIFORMES,Emberizidae,Emberiza_chrysophrys,Long distance migrant,3,114.084182,59.19154736,2478480.521,-5.752801132,163.9729688,16.12929993,-28.84544983,1289.112671,Terrestrial,1214,0.001465,0.075776667,0.019333128,0.00742287,0.00182805,0.01881084,13.17686962,1.555581544,4.05461121,0.692873302,0.000373375,0.000358656,0.000262964,0.000650043,0.000282774,0.000554862,0.019312702,0.018551394,0.013601752,0.033623257,0.014626402,0.028700082,18,0,2,1479229,0.219061278,0.179341598,0.20227768,0.182644859,0.193958885,0.131449804,46,47,0.972884171,8.578848096,2.054021325
Schoeniclus_elegans_KY349099.1,Schoeniclus_elegans,PASSERIFORMES,Emberizidae,Emberiza_elegans,PASSERIFORMES,Emberizidae,Emberiza_elegans,Long distance migrant,2,120.2186327,39.44322081,3012325.139,7.342193604,110.274873,21.36636963,-8.949842834,2544.051758,Terrestrial,1214,0.00228,0.121546667,0.018758227,0.00802994,0.0021323,0.02008862,13.17686962,1.555581544,6.24822506,0.843023755,0.000371684,0.000368418,0.000259601,0.0005766,0.000289047,0.000462209,0.019814474,0.019640317,0.013839333,0.030738492,0.015409058,0.02464036,16.8,0.02295082,2,7130705,0.234389242,0.100011685,0.203123909,0.182397303,0.131317199,0.090821746,43,43,0.888942632,7.453952083,1.842926627
