,Group,Tips.Label,Clade,dN,dS,dNdS,Species,Clade.Age,Tip.Age,Order,Family,Lat,Habitat,BodyMass,Longevity,MaturityAge,Fecundity,Ref.BodyMass,Ref.Longevity,Ref.MaturityAge,Ref.Fecundity,AnnualTemp,ThermoMode
11,Fishes,Osteoglossiformes_Osteoglossidae_Osteoglossum_bicirrhosum,Fishes_Node274,1.16E-10,1.37E-09,0.084541596,Osteoglossum_bicirrhosum,179.486855,39.699565,Osteoglossiformes,Osteoglossidae,35.34235294,Freshwater,5827.4,20,3,360,FishBase,https://www.aquariadise.com/silver-arowana/,https://www.amazonasmagazine.com/2013/08/23/farming-arowanas-where-coca-once-grew/,"Variations in reproductive strategy of the silver Arowana, Osteoglossum bicirrhosum Cuvier, 1829 from four sub-basins of the Peruvian Amazon",25.61152649,Ectotherms
12,Fishes,Osteoglossiformes_Osteoglossidae_Scleropages_formosus,Fishes_Node274,7.99E-11,1.03E-09,0.07788371,Scleropages_formosus,179.486855,39.699565,Osteoglossiformes,Osteoglossidae,4.837209302,Freshwater,4749.9,60,2.8,2690.169015,FishBase,https://dwazoo.com/animal/asian-arowana/,FishBase,Predicted,25.67189026,Ectotherms
13,Fishes,Osteoglossiformes_Notopteridae_Papyrocranus_afer,Fishes_Node274,9.91E-11,1.73E-09,0.057431029,Papyrocranus_afer,179.486855,125.131257,Osteoglossiformes,Notopteridae,7.445812808,Freshwater,1320,15,2,70,FishBase,https://en.aqua-fish.net/fish/reticulate-knifefish,"AGE AND GROWTH OF Papyrocranus afer (GUNTHER 1868), AN EMERGING ORNAMENTAL FISH IN NIGERIA",A mathematical expression for the estimation of relative fish fecundity using oocyte size,26.09483032,Ectotherms
14,Fishes,Osteoglossiformes_Morymridae_Gnathonemus_petersii,Fishes_Node274,1.25E-10,1.32E-09,0.095072076,Gnathonemus_petersii,179.486855,21.541595,Osteoglossiformes,Morymridae,4.814814815,Freshwater,331.5,20,2.090326906,5725,FishBase,https://www.fishkeepingfolks.com/gnathonemus-petersii-elephantnose-fish/,Predicted,"Some aspects of the reproductive biology of the elephant-nose fish _ Gnathonemus petersii Gunther, 1862 (Osteichthytes: Mormyridae) In Ovia River, Nigeria.",23.51963348,Ectotherms
15,Fishes,Osteoglossiformes_Mormyridae_Mormyrus_tapirus,Fishes_Node274,1.10E-10,1.39E-09,0.079219967,Mormyrus_tapirus,179.486855,21.541595,Osteoglossiformes,Mormyridae,6.770833333,Freshwater,749.45,6.900957466,1.212130693,2261.419526,FishBase,Predicted,Predicted,Predicted,24.3290329,Ectotherms
16,Fishes,Clupeiformes_Engraulidae_Coilia_nasus,Fishes_Node281,5.18E-11,8.81E-10,0.058753948,Coilia_nasus,88.873751,64.910261,Clupeiformes,Engraulidae,34.68041237,Marine&Freshwater,179.8,9.687107599,1.848525055,23695,FishBase,Predicted,Predicted,Studies on biological characteristics and change of resource of Coilia nasus schlegel in the lower reaches of the Yangtze River,17.48771973,Ectotherms
17,Fishes,Clupeiformes_Engraulidae_Engraulis_encrasicolus,Fishes_Node281,1.53E-10,2.68E-09,0.05703433,Engraulis_encrasicolus,88.873751,64.910261,Clupeiformes,Engraulidae,34.15517241,Marine,52.3,5,1,23220,FishBase,FishBase,FishBase,FishBase,13.14429426,Ectotherms
18,Fishes,Clupeiformes_Clupeidae_Clupea_harengus,Fishes_Node281,1.02E-10,9.98E-10,0.102239253,Clupea_harengus,88.873751,66.336591,Clupeiformes,Clupeidae,64.2505212,Marine,753.2,25,2.6,213792,FishBase,FishBase,FishBase,Relationships between genetic variability and life_history features of bony fishes,8.128131866,Ectotherms
19,Fishes,Clupeiformes_Clupeidae_Amblygaster_clupeoides,Fishes_Node281,1.03E-10,1.96E-09,0.052405411,Amblygaster_clupeoides,88.873751,50.499209,Clupeiformes,Clupeidae,10.64081633,Marine,247,6.011372861,1.060542204,1322.164323,FishBase,Predicted,Predicted,Predicted,26.03737068,Ectotherms
20,Fishes,Clupeiformes_Clupeidae_Alosa_alosa,Fishes_Node281,9.22E-11,1.28E-09,0.072017935,Alosa_alosa,88.873751,50.499209,Clupeiformes,Clupeidae,51.45882353,Freshwater,1779.6,10,3,150000,FishBase,FishBase,FishBase,FishBase,12.3572279,Ectotherms
21,Fishes,Cypriniformes_Gyrinocheilidae_Gyrinocheilus_aymonieri,Fishes_Node286,6.09E-11,1.05E-09,0.057868008,Gyrinocheilus_aymonieri,81.011056,81.011056,Cypriniformes,Gyrinocheilidae,13.57692308,Freshwater,127.3745489,15,1.065150245,1345.39517,FishBase,https://www.seriouslyfish.com/species/gyrinocheilus-aymonieri/,Predicted,Predicted,26.60740356,Ectotherms
22,Fishes,Cypriniformes_Botiidae_Sinibotia_superciliaris,Fishes_Node286,1.14E-10,1.36E-09,0.084036549,Sinibotia_superciliaris,81.011056,73.081324,Cypriniformes,Botiidae,27.81707317,Freshwater,36.6,7.00072218,1.501330397,6780,FishBase,Predicted,Predicted,Reproductive biology of pingchow tasselmouth loach Vanmanenia pingchowensis in tributary of Foding Mountain in the Middle Wujiang River,16.54571533,Ectotherms
23,Fishes,Cypriniformes_Danionidae_Danio_rerio,Fishes_Node286,1.46E-10,2.05E-09,0.070919923,Danio_rerio,81.011056,51.312131,Cypriniformes,Danionidae,25.65714286,Freshwater,0.5,5.5,0.4,400,FishBase,AnAge,FishBase,FishBase,24.57661133,Ectotherms
24,Fishes,Cypriniformes_Leuciscidae_Pimephales_promelas,Fishes_Node286,1.63E-10,1.54E-09,0.105696626,Pimephales_promelas,81.011056,13.567437,Cypriniformes,Leuciscidae,45.94341564,Freshwater,13.5,5,1,10164,FishBase,FishBase,FishBase,FishBase,5.622018051,Ectotherms
25,Fishes,Cypriniformes_Leuciscidae_Leuciscus_waleckii,Fishes_Node286,1.25E-10,9.10E-10,0.137275009,Leuciscus_waleckii,81.011056,13.567437,Cypriniformes,Leuciscidae,34.9516129,Freshwater,568.1,9.522889682,2.5,10000,FishBase,Predicted,FishBase,The Fishes of Heilongjiang,1.325775719,Ectotherms
26,Fishes,Cypriniformes_Cyprinidae_Cyprinus_carpio,Fishes_Node286,1.93E-10,1.10E-09,0.175141323,Cyprinus_carpio,81.011056,21.211389,Cypriniformes,Cyprinidae,44.02264151,Freshwater,24065.6,47,3,6840000,FishBase,AnAge,AnAge,"Exploring the fisheries of Wular Lake, Kashmir, India",7.380764008,Ectotherms
27,Fishes,Cypriniformes_Cyprinidae_Sinocyclocheilus_rhinocerous,Fishes_Node286,1.32E-10,7.59E-10,0.173474029,Sinocyclocheilus_rhinocerous,81.011056,14.486498,Cypriniformes,Cyprinidae,24.5,Freshwater,9.995074745,4.341298851,0.773906433,372.8602196,FishBase,Predicted,Predicted,Predicted,19.36247864,Ectotherms
28,Fishes,Cypriniformes_Cyprinidae_Sinocyclocheilus_anshuiensis,Fishes_Node286,2.19E-10,1.22E-09,0.178615241,Sinocyclocheilus_anshuiensis,81.011056,11.095122,Cypriniformes,Cyprinidae,24.5,Freshwater,11.85606662,4.386741212,0.781747239,388.2700017,FishBase,Predicted,Predicted,Predicted,18.25844269,Ectotherms
29,Fishes,Cypriniformes_Cyprinidae_Sinocyclocheilus_grahami,Fishes_Node286,2.18E-10,1.30E-09,0.168141593,Sinocyclocheilus_grahami,81.011056,11.095122,Cypriniformes,Cyprinidae,25,Freshwater,250,7.955885641,1.764542771,2402,FishBase,Predicted,Predicted,"Broodstocks management, fecundity and the relationship between egg size and embryo survival ability of Sinocyclocheilus grahami",15.27373199,Ectotherms
30,Fishes,Characiformes_Distichodontidae_Distichodus_sexfasciatus,Fishes_Node295,9.58E-11,1.53E-09,0.06266536,Distichodus_sexfasciatus,130.627559,130.627559,Characiformes,Distichodontidae,4.264705882,Freshwater,7415,10.80879327,2.848303938,154817.9507,FishBase,Predicted,Predicted,Predicted,23.54099884,Ectotherms
31,Fishes,Characiformes_Serrasalmidae_Pygocentrus_nattereri,Fishes_Node295,6.14E-11,9.26E-10,0.066310951,Pygocentrus_nattereri,130.627559,77.006541,Characiformes,Serrasalmidae,16.61267606,Freshwater,5575.6,10,1,4000,FishBase,Aquariumwiki.com,FishBase,FishBase,25.10948029,Ectotherms
32,Fishes,Characiformes_Erythrinidae_Erythrinus_erythrinus,Fishes_Node295,1.20E-10,1.72E-09,0.069948639,Erythrinus_erythrinus,130.627559,71.171986,Characiformes,Erythrinidae,9.336614173,Freshwater,186.56,10,0.962453926,895.282122,FishBase,https://tropical-fish-keeping.com/rainbow-wolf-fish-erythrinus-erythrinus.html,Predicted,Predicted,24.75097198,Ectotherms
33,Fishes,Characiformes_Hepsetidae_Hepsetus_odoe,Fishes_Node295,1.04E-10,1.52E-09,0.068692747,Hepsetus_odoe,130.627559,71.171986,Characiformes,Hepsetidae,7.697080292,Freshwater,868.3,5,2.155780831,7860,FishBase,AnAge,Predicted,FishBase,25.84027405,Ectotherms
34,Fishes,Characiformes_Characidae_Astyanax_mexicanus,Fishes_Node295,1.07E-10,1.73E-09,0.06197735,Astyanax_mexicanus,130.627559,20.213935,Characiformes,Characidae,30.375,Freshwater,20.8,15,1.103009796,3871.797863,FishBase,AnAge,Predicted,Predicted,18.6557251,Ectotherms
35,Fishes,Characiformes_Characidae_Thayeria_boehlkei,Fishes_Node295,7.57E-11,1.22E-09,0.061855392,Thayeria_boehlkei,130.627559,20.213935,Characiformes,Characidae,40.27165354,Freshwater,0.4,8,0.559178235,1000,FishBase,Aquariumwiki.com,Predicted,FishBase,25.29698944,Ectotherms
36,Fishes,Characiformes_Characidae_Hemigrammus_bleheri,Fishes_Node295,9.42E-11,1.49E-09,0.063181934,Hemigrammus_bleheri,130.627559,22.898117,Characiformes,Characidae,9.902350814,Freshwater,0.6,6,0.594074088,411,FishBase,Aquariumwiki.com,Predicted,"Reproductive biology and feeding habits of Hemigrammus bleheri (Characiformes: Characidae) an ornamental fish the middle Negro River basin, Amazonas State",25.60981445,Ectotherms
37,Fishes,Gymnotiformes_Apteronotidae_Apteronotus_albifrons,Fishes_Node301,1.06E-10,1.24E-09,0.085385635,Apteronotus_albifrons,125.373541,58.035654,Gymnotiformes,Apteronotidae,9.153658537,Freshwater,476.7,15,2.296814916,24127.57318,FishBase,FishBase,Predicted,Predicted,25.17083588,Ectotherms
38,Fishes,Gymnotiformes_Gymnotidae_Electrophorus_electricus,Fishes_Node301,1.22E-10,1.30E-09,0.094276129,Electrophorus_electricus,125.373541,50.504597,Gymnotiformes,Gymnotidae,6.321428571,Freshwater,20000,12.6,3,17000,FishBase,FishBase,FishBase,FishBase,25.04509125,Ectotherms
39,Fishes,Gymnotiformes_Rhamphichthyidae_Rhamphichthys_rostratus,Fishes_Node301,1.18E-10,1.36E-09,0.08647434,Rhamphichthys_rostratus,125.373541,50.504597,Gymnotiformes,Rhamphichthyidae,6.529761905,Freshwater,1517.16,8.974190896,1.563118088,6281.632145,FishBase,Predicted,Predicted,Predicted,24.66446075,Ectotherms
40,Fishes,Siluriformes_Loricariidae_Pterygoplichthys_pardalis,Fishes_Node301,1.23E-10,1.54E-09,0.080214886,Pterygoplichthys_pardalis,125.373541,95.486796,Siluriformes,Loricariidae,26.70833333,Freshwater,3078.5,15,2.504180841,10044,FishBase,Aquariumwiki.com,Predicted,Reproductive biology of the introduced sailin catish Pterygoplichthys pardalis (Pisces: Loricariidae) in Peninsular Malaysia,25.06098328,Ectotherms
41,Fishes,Siluriformes_Plotosidae_Plotosus_lineatus,Fishes_Node301,1.34E-10,1.58E-09,0.085081454,Plotosus_lineatus,125.373541,67.503786,Siluriformes,Plotosidae,13.17879814,Marine,356.7,7,2,1730,FishBase,AnAge,AnAge,"Reproductive traits and spawning activity of striped eel catfish (Plotosidae) in Kolono Bay, Indonesia",27.82022667,Ectotherms
42,Fishes,Siluriformes_Pangasiidae_Pangasianodon_hypophthalamus,Fishes_Node301,5.72E-11,5.69E-10,0.100554046,Pangasianodon_hypophthalamus,125.373541,43.983417,Siluriformes,Pangasiidae,14.56060606,Freshwater,44000,15,1.691706063,1.00E+06,FishBase,https://meethepet.com/iridescent-shark/,Predicted,"Status of the Mekong Pangasianodon hypophthalmus resources, with special reference to the stock shared between Cambodia and Viet Nam",26.71534729,Ectotherms
43,Fishes,Siluriformes_Ictaluridae_Ictalurus_punctatus,Fishes_Node301,1.04E-10,9.05E-10,0.114765354,Ictalurus_punctatus,125.373541,43.983417,Siluriformes,Ictaluridae,29.5,Freshwater,40641.7,24,4.2,7583,FishBase,FishBase,FishBase,Reproductive biology of the channel catfish (Ictalurus punctatus Raf.) reared in heated water,13.60912933,Ectotherms
44,Fishes,Siluriformes_Sisoridae_Glyptothorax_sinensis,Fishes_Node301,1.88E-10,2.15E-09,0.087529263,Glyptothorax_sinensis,125.373541,38.28917,Siluriformes,Sisoridae,30.63559322,Freshwater,510,11.33509375,2.356242196,1000,FishBase,Predicted,Predicted,The Fishes of Sichuan,11.85497894,Ectotherms
45,Fishes,Siluriformes_Amblycipitidae_Liobagrus_styani,Fishes_Node301,1.90E-10,1.59E-09,0.119879901,Liobagrus_styani,125.373541,38.28917,Siluriformes,Amblycipitidae,35.76666667,Freshwater,13.1,7.662851489,1.940351455,379.8277743,FishBase,Predicted,Predicted,Predicted,17.47481995,Ectotherms
46,Fishes,Esociformes_Esocidae_Esox_lucius,Fishes_Node311,1.03E-10,1.52E-09,0.067552911,Esox_lucius,78.478032,59.662748,Esociformes,Esocidae,33.94927536,Freshwater,18274.8,30,3,30734,FishBase,AnAge,AnAge,FishBase,5.247887421,Ectotherms
47,Fishes,Esociformes_Umbridae_Umbra_pygmae,Fishes_Node311,1.39E-10,1.94E-09,0.071623821,Umbra_pygmae,78.478032,59.662748,Esociformes,Umbridae,35.88461538,Freshwater,36.57144085,4,2,2566,FishBase,wordlspecies.org,FishBase,FishBase,15.70701141,Ectotherms
48,Fishes,Salmoniformes_Salmonidae_Coregonus_clupeaformis,Fishes_Node311,7.78E-11,7.65E-10,0.101744019,Coregonus_clupeaformis,78.478032,30.400455,Salmoniformes,Salmonidae,36.61111111,Freshwater,15649.9,50,6.8,10877,FishBase,AnAge,FishBase,FishBase,0.357109427,Ectotherms
49,Fishes,Salmoniformes_Salmonidae_Thymallus_thymallus,Fishes_Node311,1.10E-10,1.12E-09,0.098034614,Thymallus_thymallus,78.478032,30.400455,Salmoniformes,Salmonidae,57.76930894,Freshwater,2420.1,14,2.8,1050,FishBase,FishBase,FishBase,FishBase,5.653339767,Ectotherms
50,Fishes,Salmoniformes_Salmonidae_Salmo_salar,Fishes_Node311,1.67E-10,1.09E-09,0.152925222,Salmo_salar,78.478032,20.993404,Salmoniformes,Salmonidae,15.77810651,Marine&Freshwater,35555.3,13,2.2,249308,FishBase,AnAge,FishBase,Relationships between genetic variability and life_history features of bony fishes,7.418623114,Ectotherms
51,Fishes,Salmoniformes_Salmonidae_Oncorhynchus_mykiss,Fishes_Node311,2.20E-10,1.59E-09,0.138907833,Oncorhynchus_mykiss,78.478032,17.259067,Salmoniformes,Salmonidae,35.86633663,Freshwater,9102.3,11,2.6,24575,FishBase,FishBase,FishBase,Effects of Stress on the Reproductive Performance of Rainbow Trout (Oncorhynchus mykiss),6.887693119,Ectotherms
52,Fishes,Salmoniformes_Salmonidae_Salvelinus_fontinalis,Fishes_Node311,1.22E-10,1.12E-09,0.10857948,Salvelinus_fontinalis,78.478032,17.259067,Salmoniformes,Salmonidae,22.58823529,Freshwater,7779.7,24,1.8,87343,FishBase,FishBase,FishBase,Relationships between genetic variability and life_history features of bony fishes,5.679022217,Ectotherms
53,Fishes,Galaxiiformes_Galaxiidae_Galaxias_maculatus,Fishes_Node318,1.02E-10,1.36E-09,0.075021548,Galaxias_maculatus,152.267733,49.712424,Galaxiiformes,Galaxiidae,38.225,Marine&Freshwater,64.9,7.779714333,1.396855806,13500,FishBase,Predicted,Predicted,Population genetics of selected whitebait species: Galaxias maculatus (Jenyns) and Lovettia sealii (Johnston).,14.42321234,Ectotherms
54,Fishes,Galaxiiformes_Galaxiidae_Galaxiella_nigrostriata,Fishes_Node318,1.51E-10,1.73E-09,0.087201855,Galaxiella_nigrostriata,152.267733,49.712424,Galaxiiformes,Galaxiidae,33.35714286,Freshwater,0.4,1,0.5,62,FishBase,AnAge,FishBase,"Larval descriptions of three galaxiid fishes endemic to south-western Australia: Galaxias occidentalis, Galaxiella munda and Galaxiella nigrostriata (Salmoniformes",16.42061157,Ectotherms
55,Fishes,Stomiatiformes_Stomiidae_Borostomias_antarcticus,Fishes_Node318,7.27E-11,9.85E-10,0.07379676,Borostomias_antarcticus,152.267733,114.620035,Stomiatiformes,Stomiidae,44.20697092,Marine,133.4614632,6.169429426,1.087525159,1462.583767,FishBase,Predicted,Predicted,Predicted,12.18830967,Ectotherms
56,Fishes,Osmeriformes_Osmeridae_Osmerus_eperlanus,Fishes_Node318,6.83E-11,7.50E-10,0.091124883,Osmerus_eperlanus,152.267733,34.645161,Osmeriformes,Osmeridae,59.95,Freshwater,745.2,10,2,8875,FishBase,FishBase,FishBase,FishBase,8.330809402,Ectotherms
57,Fishes,Osmeriformes_Plecoglossidae_Plecoglossus_altivelis,Fishes_Node318,1.01E-10,1.77E-09,0.057114335,Plecoglossus_altivelis,152.267733,28.231881,Osmeriformes,Plecoglossidae,30.98611111,Marine&Freshwater,1716.4,3,1.403838437,80000,FishBase,FishBase,Predicted,FishBase,17.43679504,Ectotherms
58,Fishes,Osmeriformes_Salangidae_Protosalanx_hyalocranius,Fishes_Node318,1.65E-10,2.34E-09,0.070627389,Protosalanx_hyalocranius,152.267733,28.231881,Osmeriformes,Salangidae,53.26923077,Marine&Freshwater,47.30849144,1,0.997224855,18805,FishBase,"Growth, length_weight relationship and biological information on the clearhead icefish (Protosalanx hyalocranius Abbott, 1901) in Lake Khanka (Xingkai)",Predicted,"Growth, length_weight relationship and biological information on the clearhead icefish (Protosalanx hyalocranius Abbott, 1901) in Lake Khanka (Xingkai)",9.147691345,Ectotherms
59,Fishes,Aulopiformes_Synodontidae_Synodus_intermedius,Fishes_Node324,1.40E-10,2.35E-09,0.05984568,Synodus_intermedius,95.67821,95.67821,Aulopiformes,Synodontidae,16.25819672,Marine,1000,7.047351113,1.237014663,2453.783949,FishBase,Predicted,Predicted,Predicted,26.91811562,Ectotherms
60,Fishes,Aulopiformes_Chlorophthalmidae_Parasudis_fraserbrunneri,Fishes_Node324,7.08E-11,1.09E-09,0.064999472,Parasudis_fraserbrunneri,95.67821,95.67821,Aulopiformes,Chlorophthalmidae,8.187830688,Marine,85.52570544,5.850751606,1.033098185,1189.985995,FishBase,Predicted,Predicted,Predicted,26.41107178,Ectotherms
61,Fishes,Percopsiformes_Amblyopsidae_Typhlichthys_subterraneus,Fishes_Node330,1.95E-10,1.81E-09,0.107690563,Typhlichthys_subterraneus,45.467504,45.467504,Percopsiformes,Amblyopsidae,36.5,Freshwater,6.43,4,2,50,FishBase,FishBase,FishBase,wordlspecies.org,14.54517517,Ectotherms
62,Fishes,Percopsiformes_Percopsidae_Percopsis_transmontana,Fishes_Node330,1.26E-10,1.17E-09,0.107486464,Percopsis_transmontana,45.467504,6.349873,Percopsiformes,Percopsidae,45.73076923,Freshwater,13.9,6,2,5370,FishBase,FishBase,FishBase,FishBase,10.13043823,Ectotherms
63,Fishes,Percopsiformes_Percopsidae_Percopsis_omiscomaycus,Fishes_Node330,9.19E-11,9.59E-10,0.095798227,Percopsis_omiscomaycus,45.467504,6.349873,Percopsiformes,Percopsidae,54.33026188,Freshwater,113.87,4,1,1825,FishBase,FishBase,wordlspecies.org,wordlspecies.org,-0.305449486,Ectotherms
64,Fishes,Zeiformes_Zeidae_Zeus_faber,Fishes_Node333,1.88E-10,2.32E-09,0.081056275,Zeus_faber,19.908069,19.908069,Zeiformes,Zeidae,12.76196809,Marine,10445,12,3,30000,FishBase,FishBase,FishBase,"Reproductive traits (Fecundity, egg diameter, parental care) of marine European fish",14.43340254,Ectotherms
65,Fishes,Zeiformes_Parazenidae_Cyttopsis_rosea,Fishes_Node333,1.54E-10,1.71E-09,0.090598425,Cyttopsis_rosea,19.908069,19.908069,Zeiformes,Parazenidae,24.96800595,Marine,398.8,6.232717663,1.098323321,1521.804948,FishBase,Predicted,Predicted,Predicted,22.73681259,Ectotherms
66,Fishes,Gadiformes_Merlucciidae_Merluccius_polli,Fishes_Node337,1.08E-10,1.18E-09,0.091545975,Merluccius_polli,4.177252,4.177253,Gadiformes,Merlucciidae,11.95989305,Marine,3395.123549,8.372039451,2,4794.702072,FishBase,Predicted,https://www.fao.org/3/y4876e/y4876e04.pdf,Predicted,24.70874786,Ectotherms
67,Fishes,Gadiformes_Merlucciidae_Merluccius_capensis,Fishes_Node337,1.21E-10,1.79E-09,0.06784149,Merluccius_capensis,4.177252,2.043042,Gadiformes,Merlucciidae,25.7027027,Marine,24663.41,9.965035598,1.729906823,9439.792594,FishBase,Predicted,Predicted,Predicted,17.62508202,Ectotherms
68,Fishes,Gadiformes_Merlucciidae_Merluccius_merluccius,Fishes_Node337,9.71E-11,1.39E-09,0.069663974,Merluccius_merluccius,4.177252,2.043042,Gadiformes,Merlucciidae,44.15636704,Marine,15000,20,3,9439.792594,FishBase,FishBase,wordlspecies.org,Predicted,16.06688118,Ectotherms
69,Fishes,Gadiformes_Melanonidae_Melanorus_zugmayeri,Fishes_Node340,9.93E-11,1.18E-09,0.084280137,Melanorus_zugmayeri,48.397136,43.544055,Gadiformes,Melanonidae,23.99003858,Marine,72.2276239,6.038355824,1.065150245,1345.39517,FishBase,Predicted,Predicted,Predicted,22.51904488,Ectotherms
70,Fishes,Gadiformes_Muraenolepididae_Muraenolepis_marmoratus,Fishes_Node340,2.17E-10,2.29E-09,0.094824176,Muraenolepis_marmoratus,48.397136,40.930673,Gadiformes,Muraenolepididae,50.5297619,Marine,780,6.950515583,1.220556444,2325.236713,FishBase,Predicted,Predicted,Predicted,3.190805674,Ectotherms
71,Fishes,Gadiformes_Trachyrincidae_Trachyrincus_scabrus,Fishes_Node340,8.56E-11,9.58E-10,0.089294735,Trachyrincus_scabrus,48.397136,8.952903,Gadiformes,Trachyrincidae,28.23529412,Marine,720.4,23,1.340123723,3384.711103,FishBase,Review of the literature on age and growth of grenadiers in the Mediterranean and new data on age of Trachyrincus scabrus (Macrouridae) in the Ionian Sea,Predicted,Predicted,20.74545479,Ectotherms
72,Fishes,Gadiformes_Trachyrincidae_Trachyrincus_murrayi,Fishes_Node340,9.42E-11,8.56E-10,0.109946961,Trachyrincus_murrayi,48.397136,8.952903,Gadiformes,Trachyrincidae,11.74720195,Marine,64.2,12.74527002,1.821463332,2062,FishBase,Predicted,Predicted,Reproduction in the North Atlantic oceanic ichthyofauna and the relationship between fecundity and species' sizes,4,Ectotherms
73,Fishes,Gadiformes_Moridae_Mora_moro,Fishes_Node340,8.34E-11,8.71E-10,0.095785389,Mora_moro,48.397136,28.218966,Gadiformes,Moridae,37.79601378,Marine,5829.5,59,14,4794.702072,FishBase,"Age and growth of two deep-water fish species in the Azores Archipelago: Mora moro (Risso, 1810) and Epigonus telescopus (Risso, 1810)",https://fishesofaustralia.net.au/home/species/2853,Predicted,17.06531143,Ectotherms
74,Fishes,Gadiformes_Moridae_Laemonema_laureysi,Fishes_Node340,1.02E-10,1.20E-09,0.08517824,Laemonema_laureysi,48.397136,28.218966,Gadiformes,Moridae,8.435064935,Marine,425.37,6.640480374,1.167812891,1947.129758,FishBase,Predicted,Predicted,Predicted,25.93554306,Ectotherms
75,Fishes,Gadiformes_Bathygadidae_Bathygadus_melanobranchus,Fishes_Node340,9.26E-11,8.95E-10,0.103561854,Bathygadus_melanobranchus,48.397136,43.781564,Gadiformes,Bathygadidae,24.90927583,Marine,455.32,7.232646605,1.268487541,2714.386228,FishBase,Predicted,Predicted,Predicted,22.85847664,Ectotherms
