"GenBank","Seq.Names","Clade.Label","MajorGroup","Group","ThermoMode","Class","Order","Family","Species","dN","dS","Clade","Clade.Age","Tip.Age","Lat","AnnualTemp","TempRange","TempWarmQuarter","TempColdQuarter","Div.Rate","BAMM.Lambda","ClaDS.Rate","Div.Rate.DNA","BAMM.Lambda.DNA","ClaDS.Rate.DNA","NTR","NTR.DNA","Habitat","Length","BodyMass","Longevity","MaturityAge","Fecundity","Migration","Ref.BodyMass","Ref.Fecundity","Ref.MaturityAge","Ref.Longevity"
"HM143936.1","Polypterus_palmas_polli_HM143936.1","Polypteriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Polypteriformes","Polypteridae","Polypterus_palmas",2.06415043990162e-10,5.92810234178812e-09,"Fishes2531",66.65953009,13.98965606,8.57142857142857,25.6989410400391,13.7660693359375,27.9489837646484,23.9510818481445,0.0496228632349054,0.055339047,0.041669217,0.0496228632349054,0.041650593,0.040418518,9,9,"Freshwater",353,246.7,30,1.920514825,50,NA,"FishBase","FishBase","","https://www.monsterfishkeepers.com/forums/threads/life-span-of-a-bichir.310777/"
"HM143930.1","Polypterus_delhezi_HM143930.1","Polypteriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Polypteriformes","Polypteridae","Polypterus_delhezi",3.05211170686253e-10,7.44220319440911e-09,"Fishes2531",66.65953009,13.98965606,2.01785714285714,24.075276184082,5.45773010253906,24.9078582763672,23.4396087646484,0.0831290865342613,0.055358566,0.040189629,0.0831290865342613,0.041650593,0.041541156,11,11,"Freshwater",440,485.2,15,2.150761798,2350,NA,"FishBase","FishBase","","https://badmanstropicalfish.com/delhezi-bichir/"
"AY571339.1","Psephurus_gladius_AY571339.1","Acipenseriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Acipenseriformes","Polyodontidae","Psephurus_gladius",6.56312731114633e-11,1.49556788166931e-09,"Fishes2543",120.80020152,63.10010197,30.4375,17.9420259475708,52.3935553741455,28.2450582504272,6.98100166320801,0.00669233795641127,0.26040382,0.010183067,0.00669233795641127,0.057561797,0.009484176,5,5,"Marine&Freshwater",3000,3e+05,38,5.5,970000,NA,"FishBase","FishBase","FishBase","https://www.igb-berlin.de/en/chinese-paddlefish"
"MF101788.1","Scaphirhynchus_platorynchus_MF101788.1","Acipenseriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Acipenseriformes","Acipenseridae","Scaphirhynchus_platorynchus",1.5519521074193e-10,4.33170291670559e-09,"Fishes2543",120.80020152,16.1716424,40.2741935483871,11.2791564941406,94.04447265625,23.8612396240234,-1.8743236541748,0.140108811176684,0.2628397,0.148566403,0.140108811184536,0.188579971,0.146754345,10,10,"Freshwater",1080,6147.4,43,5,416849,NA,"FishBase","Relationships between genetic variability and life_history features of bony fishes","FishBase","FishBase"
"KP997216.1","Acipenser_sturio_KP997216.1","Acipenseriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser_sturio",2.09109380670485e-10,5.53377700140028e-09,"Fishes2543",120.80020152,3.91020898,51.1537467700258,11.5681826591492,32.9466618919373,18.1626955032349,5.59602599143982,0.00794626515391379,0.2628397,0.029207236,0.00794626515391379,0.111484298,0.029537331,5,5,"Marine&Freshwater",6000,1094864.3,6.8,9.2,433333,NA,"FishBase","FishBase","FishBase","FishBase"
"KU985073.1","Acipenser_oxyrinchus_oxyrinchus_KU985073.1","Acipenseriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser_oxyrinchus",3.46550584558617e-10,6.51784591526843e-09,"Fishes2543",120.80020152,3.91020898,40.4261744966443,12.2892554283142,45.5492807006836,21.3837938308716,3.46994907855988,0.014107216120986,0.2628397,0.053516667,0.014107216120986,0.111484298,0.049015575,6,6,"Marine&Freshwater",4030,333362,60,15.1,1030000,NA,"FishBase","FishBase","FishBase","FishBase"
"MK078264.1","Huso_dauricus_MK078264.1","Acipenseriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Acipenseriformes","Acipenseridae","Huso_dauricus",1.25475736682882e-10,4.37316784343513e-09,"Fishes2543",120.80020152,2.61485866,48.8333333333333,3.99360041618347,83.4261195755005,18.7238273620605,-10.4772022128105,0.0690267964865924,0.2628397,0.108574597,0.0690267964865924,0.188579971,0.108586634,9,9,"Marine&Freshwater",5600,1696103.9,80,16,4e+06,NA,"FishBase","The Fishes of Heilongjiang","The Fishes of Heilongjiang","FishBase"
"KM591217.1","Acipenser_medirostris_KM591217.1","Acipenseriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser_medirostris",3.08222556117883e-10,7.39812231614367e-09,"Fishes2543",120.80020152,2.61485863,50.0925925925926,8.93498802185059,27.6422876358032,14.2110630989075,4.37883305549622,0.133530090122648,0.2628397,0.141700846,0.13353009012978,0.188579971,0.11761309,10,10,"Marine&Freshwater",2700,116720.2,80,17,140000,NA,"FishBase","https://www.scwa2.com/documents/hcp/appendix/Green_Sturgeon.pdf","https://www.scwa2.com/documents/hcp/appendix/Green_Sturgeon.pdf","FishBase"
"NC_004743.1","Acipenser_transmontanus_NC_004743.1","Acipenseriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser_transmontanus",1.7327047079947e-10,3.52266181318224e-09,"Fishes2543",120.80020152,1.34237566,44.3627450980392,11.1436985015869,26.1395650100708,16.0219711303711,6.91252470016479,0.102644605008843,0.2628397,0.092901513,0.102644605008843,0.188579971,0.108119009,10,10,"Marine&Freshwater",6100,2287116.4,104,11,398600,NA,"FishBase","FishBase","FishBase","FishBase"
"MH973731.1","Acipenser_schrenckii_MH973731.1","Acipenseriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser_schrenckii",1.03911839838984e-10,4.20565516824042e-09,"Fishes2543",120.80020152,1.34237566,48.1,2.61988906860352,149.058193359375,21.1724151611328,-19.5386566162109,0.102644605008843,0.2628397,0.086109361,0.102644605008843,0.188579971,0.10603488,10,10,"Freshwater",3000,419746.5,65,8.8,2800000,NA,"FishBase","The Fishes of Heilongjiang","FishBase","FishBase"
"KJ174513.1","Acipenser_sinensis_KJ174513.1","Acipenseriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser_sinensis",3.90371264968505e-10,1.0105496869244e-08,"Fishes2543",120.80020152,3.72848205,23.7222222222222,22.7103031158447,33.2204259490967,28.4960439682007,15.6048267364502,0.0655958602673971,0.2628397,0.101472117,0.0655958602673971,0.188579971,0.110187576,9,9,"Marine&Freshwater",1300,6e+05,13,11,306000,NA,"FishBase","FishBase","FishBase","FishBase"
"AY442351.1","Huso_huso_AY442351.1","Acipenseriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Acipenseriformes","Acipenseridae","Huso_huso",2.16588303918683e-10,4.62693030138759e-09,"Fishes2543",120.80020152,5.19788305,42.0714285714286,15.3282350540161,45.8438775634766,24.7427619934082,6.53719806671143,0.0559618143056112,0.2628397,0.132626284,0.0559618143056112,0.188579971,0.121488214,9,9,"Marine&Freshwater",8000,3428960.3,118,11.8,360000,NA,"FishBase","FishBase","FishBase","FishBase"
"MN746333.1","Pseudoscaphirhynchus_kaufmanni_MN746333.1","Acipenseriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Acipenseriformes","Acipenseridae","Pseudoscaphirhynchus_kaufmanni",2.45204971842917e-10,9.52854801879085e-09,"Fishes2543",120.80020152,1.86192564,44.3346456692913,12.0035171508789,111.7394140625,26.9477172851563,-3.29426040649414,0.240648344368953,0.2628397,0.212650768,0.277442795819188,0.188579971,0.188214429,13,13,"Freshwater",750,2000,14,6,36500,NA,"FishBase","https://fish-of-the-world.fandom.com/wiki/Pseudoscaphirhynchus_kaufmanni","FishBase","https://fish-of-the-world.fandom.com/wiki/Pseudoscaphirhynchus_kaufmanni"
"NC_005795.1","Acipenser_stellatus_NC_005795.1","Acipenseriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser_stellatus",3.22619430730326e-10,6.34940607755447e-09,"Fishes2543",120.80020152,1.86192564,43.4090909090909,14.1662824630737,48.1640089797974,24.3311767578125,4.62181544303894,0.148429081171413,0.2628397,0.162578704,0.148429081171413,0.188579971,0.15033813,12,12,"Marine&Freshwater",2500,34476.4,27,6.8,20000,NA,"FishBase","FishBase","FishBase","FishBase"
"KU321568.1","Acipenser_nudiventris_KU321568.1","Acipenseriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser_nudiventris",1.78713389774752e-10,5.47019776526289e-09,"Fishes2543",120.80020152,3.09116233,44.9666666666667,13.4611601829529,53.2063917541504,24.4450323104858,2.9005886554718,0.131318388949035,0.2628397,0.143516128,0.131318388949035,0.188579971,0.117449326,12,12,"Marine&Freshwater",2110,145014.4,30,9,575966,NA,"FishBase","The Fishes of Xinjiang","FishBase","http://resp.llas.ac.cn/C666/handle/2XK7JSWQ/274617"
"KF153104.1","Acipenser_ruthenus_KF153104.1","Acipenseriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser_ruthenus",1.64321806703949e-10,8.85694538134284e-09,"Fishes2543",120.80020152,3.09116233,52.8099730458221,6.13879318237305,94.9132421875,18.8544891357422,-6.7136116027832,0.307023670794788,0.2628397,0.169199212,0.307023670794788,0.188512281,0.218349254,13,13,"Freshwater",1250,19461,69.7,4.2,11000,NA,"FishBase","FishBase","FishBase","FishBase"
"KU985082.2","Acipenser_fulvescens_KU985082.2","Acipenseriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser_fulvescens",2.47036083747825e-10,9.38151531053139e-09,"Fishes2543",120.80020152,2.49853506,45.1995305164319,6.50823059082031,101.55322265625,19.8766860961914,-7.84087524414062,0.205315479888116,0.2628397,0.16789671,0.205315479888116,0.188512281,0.16577761,13,13,"Freshwater",2740,409864.5,152,18,101836,NA,"FishBase","FishBase","FishBase","FishBase"
"KX817302.2","Acipenser_brevirostrum_KX817302.2","Acipenseriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser_brevirostrum",1.41621352617862e-10,4.48703104564552e-09,"Fishes2543",120.80020152,2.07797591,39.0102040816327,14.2278949737549,45.6167650985718,23.0143564224243,5.44406442642212,0.205315479888116,0.2628397,0.190722913,0.205315479888116,0.188512281,0.181346154,13,13,"Marine&Freshwater",1430,24007.7,67,7.7,48000,NA,"FishBase","FishBase","FishBase","AnAge"
"MW856903.1","Acipenser_baerii_MW856903.1","Acipenseriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser_baerii",1.19141480264844e-10,1.87931305973621e-09,"Fishes2543",120.80020152,2.07710045,53.5357142857143,9.14769134521484,60.39736328125,17.7310180664062,1.19164590835571,0.223412746153572,0.2628397,0.19506897,0.223412746153572,0.188512281,0.178512758,13,13,"Freshwater",2000,195030.2,63,12.5,92062,NA,"FishBase","FishBase","FishBase","FishBase"
"KJ789859.1","Acipenser_gueldenstaedtii_KJ789859.1","Acipenseriformes","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser_gueldenstaedtii",6.45007324192431e-10,3.64885162455254e-09,"Fishes2543",120.80020152,2.07710037,44.0357142857143,14.2514211654663,49.5517971420288,24.644916343689,4.40232300758362,0.191677636275775,0.2628397,0.18526377,0.191677636275775,0.188512281,0.21064083,12,12,"Marine&Freshwater",2360,79286.4,46,10,38000,NA,"FishBase","FishBase","FishBase","FishBase"
"AY442347.1","Amia_calva_AY442347.1","Holostei","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Amiiformes","Amiidae","Amia_calva",6.6078821656051e-11,2.98263667728238e-09,"Fishes2562",251.20036715,251.20036693,38.6867088607595,12.9675704956055,83.044033203125,23.9189804077148,1.29879684448242,0.0034684837913354,0.05174284,0.005378046,0.0034684837913354,0.052200719,0.006759659,5,5,"Freshwater",1090,17389.8,12,3.3,23600,NA,"FishBase","FishBase","FishBase","Animal Diversity Web"
"DQ536423.1","Lepisosteus_osseus_DQ536423.1","Holostei","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Lepisosteiformes","Lepisosteidae","Lepisosteus_osseus",1.31949693675993e-10,3.78151336878768e-09,"Fishes2562",251.20036715,4.97525882,37.7356164383562,13.5524520874023,82.887373046875,24.4851806640625,1.88140487670898,0.0192849804407676,0.0563567,0.018972569,0.0192849804407676,0.060635609,0.019583371,8,8,"Freshwater",2000,25986.9,36,6,77000,NA,"FishBase","Animal Diversity Web","worldspecies.org","worldspecies.org"
"AB042861.1","Lepisosteus_oculatus_AB042861.1","Holostei","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Lepisosteiformes","Lepisosteidae","Lepisosteus_oculatus",1.61582175219131e-10,3.63798316508334e-09,"Fishes2562",251.20036715,4.97525882,39,11.6899909973145,85.052919921875,23.2426391601563,-0.105015218257904,0.0196681288626682,0.056380782,0.020701049,0.0196681288626682,0.060635609,0.017622048,8,8,"Freshwater",1500,31909.8,18,1.7,1772,NA,"FishBase","FishBase","FishBase","FishBase"
"KJ531198.1","Atractosteus_tropicus_KJ531198.1","Holostei","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Lepisosteiformes","Lepisosteidae","Atractosteus_tropicus",1.53352161274537e-10,4.1030146807329e-09,"Fishes2562",251.20036715,8.88707339,14.3833333333333,23.7381057739258,10.6871032714844,25.137760925293,22.0886032104492,0.0100574951893028,0.056241771,0.012516757,0.0100574951893028,0.060635609,0.012594612,7,7,"Freshwater",1250,9589.8,25,2,99087,NA,"FishBase","Reproducci¨®n y alimentaci¨®n del gaspar Atractosteus tropicus (Pisces : Lepisosteidae) en el Refugio Nacional de Vida Silvestre Ca_o Negro, Costa Rica""","https://thenode.biologists.com/a-day-in-the-life-of-a-gar-lab/lablife/","https://aquariumapi.com/wp/tropical-gar-care-atractosteus-tropicus/"
"NC_008131.1","Atractosteus_spatula_NC_008131.1","Holostei","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Lepisosteiformes","Lepisosteidae","Atractosteus_spatula",1.03300766049334e-10,2.06373283791644e-09,"Fishes2562",251.20036715,4.54781864,27.6176470588235,21.4311599731445,50.87521484375,27.7493225097656,13.9727569580078,0.0196754015399678,0.056241771,0.015703538,0.0196754015399678,0.060635609,0.017174325,8,8,"Freshwater",3050,273228.4,95,14,157291,NA,"FishBase","http://txstate.fishesoftexas.org/atractosteus%20spatula.htm","http://txstate.fishesoftexas.org/atractosteus%20spatula.htm","https://tpwd.texas.gov/huntwild/wild/species/alg/"
"KY581571.1","Atractosteus_tristoechus_KY581571.1","Holostei","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Lepisosteiformes","Lepisosteidae","Atractosteus_tristoechus",2.45403744292537e-10,1.97913370734575e-09,"Fishes2562",251.20036715,4.54781864,22.5,25.076091003418,19.4759033203125,27.5247406005859,22.2990692138672,0.0196754015399678,0.056241771,0.014552557,0.0196754015399678,0.060635609,0.014202943,8,8,"Freshwater",2000,61248.8,12,4,140000,NA,"FishBase","First finding of gar Atractosteus sp.(Actinopterygii, Lepisosteiformes, Lepisosteidae) in the Caspian Sea near the coast of Turkmenistan","Crecimiento alom¨¦trico en larvas de manjuar¨ª (Atractosteus tristoechus)","Aquariumwiki.com"
"AP004808.1","Megalops_atlanticus_AP004808.1","Elopomorpha","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Elopiformes","Megalopidae","Megalops_atlanticus",1.80078805407161e-10,7.04646872817559e-09,"Fishes2569",126.00108936,24.61983635,21.0840336134454,23.5378881454468,15.9462678337097,26.6158195495605,20.318967628479,0.00931836285633473,0.09552986,0.051557131,0.00931836285633473,0.035282358,0.009626079,8,8,"Marine&Freshwater",2500,102319.5,55,7,12200000,NA,"FishBase","FishBase","FishBase","FishBase"
"AB051110.1","Megalops_cyprinoides_AB051110.1","Elopomorpha","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Elopiformes","Megalopidae","Megalops_cyprinoides",1.37291429864676e-10,6.42422656809009e-09,"Fishes2569",126.00108936,24.61983635,12.6502463054187,26.5379680633545,10.1159487438202,28.4413429260254,24.3297283172607,0.00931836285633473,0.095521386,0.049343561,0.00931836285633473,0.035282358,0.010012414,8,8,"Marine&Freshwater",1500,44383.2,44,4.039682565,219754.4548,NA,"FishBase","","","FishBase"
"AB051070.1","Elops_hawaiensis_AB051070.1","Elopomorpha","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Elopiformes","Elopidae","Elops_hawaiensis",1.44353899680567e-10,4.38452802911835e-09,"Fishes2569",126.00108936,1.89084102,13.2804473902237,25.5633327484131,11.3198101425171,27.6724058151245,23.2290954589844,0.0426165066051392,0.097493457,0.072400681,0.0221698785961565,0.035282358,0.015250835,10,9,"Marine&Freshwater",1200,8156.2,18.71368487,3.601964014,140302.4384,NA,"FishBase","","",""
"AP004807.1","Elops_saurus_AP004807.1","Elopomorpha","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Elopiformes","Elopidae","Elops_saurus",1.43289866021988e-10,6.29446844626786e-09,"Fishes2569",126.00108936,1.89084102,10.7025316455696,28.1584644317627,4.59890031814575,29.7311725616455,26.2520980834961,0.0700049145181323,0.097525105,0.070377678,0.021406155314842,0.035282358,0.015449239,11,9,"Marine",1000,6274.8,6,2,519400,NA,"FishBase","Aspectos biol¨®gicos y ecol¨®gicos del macab¨ª Elops saurus Linnaeus (Pisces: Elopidae) en la Cienaga Grande de Santa Marta y costa adyacente, Caribe Colombiano","FishBase","https://sta.uwi.edu/fst/lifesciences/sites/default/files/lifesciences/documents/ogatt/Elops_saurus%20-%20Ladyfish.pdf"
"NC_005796.1","Pterothrissus_gissu_NC_005796.1","Elopomorpha","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Albuliformes","Albulidae","Pterothrissus_gissu",7.00957565711134e-11,4.69289371230525e-09,"Fishes2573",83.34824654,83.34824626,32.7222222222222,4,4.38049173355103,10.8659954071045,7.86866426467896,0.0131240587740524,0.095417876,0.054672064,0.00738062310012278,0.034984916,0.01426019,10,9,"Marine",500,1640.1,12.33353328,2.296814916,420000,NA,"FishBase","Batch fecundity and gonadal maturation of deepsea bonefish Pterothrissus gissu in Sagami Bay","",""
"AP002974.1","Aldrovandia_affinis_AP002974.1","Elopomorpha","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Notacanthiformes","Halosauridae","Aldrovandia_affinis",9.38676426971161e-11,7.76268022208355e-09,"Fishes2573",83.34824654,19.15441541,24.1704907584449,4,0.551760494709015,4.06398296356201,3.78665542602539,0.0180270840502732,0.095920761,0.069838717,0.00989172703759302,0.034984916,0.017821816,10,9,"Marine",550,1046.8,12.9062586,2.41212708,57052,NA,"FishBase","Reproduction in the North Atlantic oceanic ichthyofauna and the relationship between fecundity and species' sizes","",""
"NC_035885.1","Halosauropsis_macrochir_NC_035885.1","Elopomorpha","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Notacanthiformes","Halosauridae","Halosauropsis_macrochir",1.35464567892791e-10,7.84513292821007e-09,"Fishes2573",83.34824654,16.47499343,26.2054044507241,4,0.358772754669189,2.91345405578613,2.74890971183777,0.0410777037524766,0.095993034,0.073395261,0.0324662363246518,0.034984916,0.015682892,13,12,"Marine",900,3267.8,36,3.106889852,197925,NA,"FishBase","Reproduction in the North Atlantic oceanic ichthyofauna and the relationship between fecundity and species' sizes","","Distribution, Population Biology, and Trophic Ecology of the Deepwater Demersal Fish Halosauropsis macrochir (Pisces: Halosauridae) on the Mid-Atlantic Ridge"
"AP002975.2","Notacanthus_chemnitzi_AP002975.2","Elopomorpha","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Notacanthiformes","Notacanthidae","Notacanthus_chemnitzii",3.90974499105984e-10,2.1096066871082e-08,"Fishes2573",83.34824654,6.92150714,40.5204330588594,4,1.78924739360809,5.66030311584473,4.57557582855225,0.0885877474993313,0.095993034,0.070230125,NA,NA,NA,14,NA,"Marine",1200,4171.4,30,3.601964014,262144,NA,"FishBase","Reproduction in the North Atlantic oceanic ichthyofauna and the relationship between fecundity and species' sizes","","First Data on the Age, Growth Processes, and Otoliths
of Snub-Nosed Spiny Eel Notacanthus chemnitzii (Notacanthidae)"
"MT027058.1","Notacanthus_bonaparte_MT027058.1","Elopomorpha","Actinopterygii","Fishes","Ectotherms","Actinopterygii","Notacanthiformes","Notacanthidae","Notacanthus_bonaparte",2.67021102352383e-10,2.55348824158086e-08,"Fishes2573",83.34824654,6.92150714,40.1032388663968,4,0.817521870136261,10.4065418243408,10.0647783279419,0.040886479349893,0.095993034,0.070258395,0.0306747667659214,0.034984916,0.017738879,13,12,"Marine",260,25.6,9.033102589,1.641205933,3870,NA,"FishBase","Reproductive traits (Fecundity, egg diameter, parental care) of marine European fish","",""
