,Seq.Names,Order.MWF,Species.MWF,Family.MWF,Tree.Tips,Clade.Sizes,Lineages,Sisters,Sister,Label,Tree.Tip,Clade.Size
71,Phalanger_vestitus_AB241057.1,DIPROTODONTIA,Phalanger_vestitus,Phalangeridae,DIPROTODONTIA_Phalangeridae,27,Lineage2,5,,,,
72,Distoechurus_pennatus_NC_008145.1,DIPROTODONTIA,Distoechurus_pennatus,Acrobatidae,DIPROTODONTIA_Acrobatidae,3,,,,,,
73,Tarsipes_rostratus_NC_006518.1,DIPROTODONTIA,Tarsipes_rostratus,Tarsipedidae,DIPROTODONTIA_Tarsipedidae,1,,,,,,
74,Dactylopsila_palpator__KJ868106.1,DIPROTODONTIA,Dactylonax_palpator,Petauridae,DIPROTODONTIA_Petauridae,13,Lineage1,6,,,,
75,Dactylopsila_trivirgata_AB241054.1,DIPROTODONTIA,Dactylopsila_trivirgata,Petauridae,DIPROTODONTIA_Petauridae,13,Lineage1,6,,,,
76,Petaurus_breviceps_AB241055.1,DIPROTODONTIA,Petaurus_breviceps,Petauridae,DIPROTODONTIA_Petauridae,13,Lineage1,6,,,,
77,Gymnobelideus_leadbeateri_MW042388.1,DIPROTODONTIA,Gymnobelideus_leadbeateri,Petauridae,DIPROTODONTIA_Petauridae,13,Lineage1,6,6,Petauridae,DIPROTODONTIA_Petauridae,13
78,Petauroides_volans__KJ868139.1,DIPROTODONTIA,Petauroides_volans,Pseudocheiridae,DIPROTODONTIA_Pseudocheiridae,20,Lineage2,6,6,Pseudocheiridae,DIPROTODONTIA_Pseudocheiridae,20
79,Pseudochirops_albertisii__KJ868151.1,DIPROTODONTIA,Pseudochirops_albertisii,Pseudocheiridae,DIPROTODONTIA_Pseudocheiridae,20,Lineage2,6,,,,
80,Pseudocheirus_peregrinus_NC_006519.1,DIPROTODONTIA,Pseudocheirus_peregrinus,Pseudocheiridae,DIPROTODONTIA_Pseudocheiridae,20,Lineage2,6,,,,
81,Pseudochirulus_herbertensis__KJ868153.1,DIPROTODONTIA,Pseudochirulus_herbertensis,Pseudocheiridae,DIPROTODONTIA_Pseudocheiridae,20,Lineage2,6,,,,
82,Pseudochirulus_canescens__KJ868152.1,DIPROTODONTIA,Pseudochirulus_canescens,Pseudocheiridae,DIPROTODONTIA_Pseudocheiridae,20,Lineage2,6,,,,
83,Hypsiprymnodon_moschatus__KJ868115.1,DIPROTODONTIA,Hypsiprymnodon_moschatus,Hypsiprymnodontidae,DIPROTODONTIA_Hypsiprymnodontidae,1,,,,,,
84,Potorous_tridactylus_NC_006524.1,DIPROTODONTIA,Potorous_tridactylus,Potoroidae,DIPROTODONTIA_Potoroidae,12,Lineage1,7,,,,
85,Potorous_longipes__KJ868148.1,DIPROTODONTIA,Potorous_longipes,Potoroidae,DIPROTODONTIA_Potoroidae,12,Lineage1,7,,,,
86,Aepyprymnus_rufescens__KJ868095.1,DIPROTODONTIA,Aepyprymnus_rufescens,Potoroidae,DIPROTODONTIA_Potoroidae,12,Lineage1,7,,,,
87,Bettongia_penicillata__KJ868102.1,DIPROTODONTIA,Bettongia_penicillata,Potoroidae,DIPROTODONTIA_Potoroidae,12,Lineage1,7,,,,
88,Bettongia_lesueur__KJ868101.1,DIPROTODONTIA,Bettongia_lesueur,Potoroidae,DIPROTODONTIA_Potoroidae,12,Lineage1,7,7,Potoroidae,DIPROTODONTIA_Potoroidae,12
89,Lagostrophus_fasciatus_NC_008447.1,DIPROTODONTIA,Lagostrophus_fasciatus,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,7,Macropodidae,DIPROTODONTIA_Macropodidae,68
90,Dorcopsis_hageni__KJ868112.1,DIPROTODONTIA,Dorcopsis_hageni,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
91,Dorcopsulus_vanheurni__KJ868113.1,DIPROTODONTIA,Dorcopsulus_vanheurni,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
92,Thylogale_billardierii__KJ868162.1,DIPROTODONTIA,Thylogale_billardierii,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
93,Petrogale_xanthopus_KY996509.1,DIPROTODONTIA,Petrogale_xanthopus,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
94,Petrogale_brachyotis__KJ868140.1,DIPROTODONTIA,Petrogale_brachyotis,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
95,Dendrolagus_lumholtzi__KJ868111.1,DIPROTODONTIA,Dendrolagus_lumholtzi,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
96,Dendrolagus_dorianus__KJ868110.1,DIPROTODONTIA,Dendrolagus_dorianus,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
97,Onychogalea_unguifera__KJ868133.1,DIPROTODONTIA,Onychogalea_unguifera,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
98,Setonix_brachyurus__KJ868156.1,DIPROTODONTIA,Setonix_brachyurus,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
99,Lagorchestes_conspicillatus__KJ868117.1,DIPROTODONTIA,Lagorchestes_conspicillatus,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
100,Lagorchestes_hirsutus_AB241056.1,DIPROTODONTIA,Lagorchestes_hirsutus,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
101,Wallabia_bicolor__KJ868164.1,DIPROTODONTIA,Wallabia_bicolor,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
102,Macropus_bernardus_KY996505.1,DIPROTODONTIA,Macropus_bernardus,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
103,Macropus_robustus_KY996506.1,DIPROTODONTIA,Macropus_robustus,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
104,Macropus_giganteus_KY996502.1,DIPROTODONTIA,Macropus_giganteus,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
105,Macropus_fuliginosus_MH717106.1,DIPROTODONTIA,Macropus_fuliginosus,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
106,Notamacropus_rufogriseus_KY996499.1,DIPROTODONTIA,Macropus_rufogriseus,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
107,Macropus_rufus_KY996501.1,DIPROTODONTIA,Osphranter_rufus,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
108,Notamacropus_irma_KY996503.1,DIPROTODONTIA,Macropus_irma,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
109,Notamacropus_parma_KY996504.1,DIPROTODONTIA,Macropus_parma,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
110,Notamacropus_agilis_KY996507.1,DIPROTODONTIA,Macropus_agilis,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
111,Macropus_eugenii__KJ868119.1,DIPROTODONTIA,Macropus_eugenii,Macropodidae,DIPROTODONTIA_Macropodidae,68,Lineage2,7,,,,
112,Euphractus_sexcinctus_flavimanus_KX151979.1,CINGULATA,Euphractus_sexcinctus,Chlamyphoridae,CINGULATA_Chlamyphoridae,13,Lineage1,8,,,,
113,Zaedyus_pichiy_KX180157.1,CINGULATA,Zaedyus_pichiy,Chlamyphoridae,CINGULATA_Chlamyphoridae,13,Lineage1,8,,,,
114,Chaetophractus_vellerosus__KT818533.1,CINGULATA,Chaetophractus_vellerosus,Chlamyphoridae,CINGULATA_Chlamyphoridae,13,Lineage1,8,,,,
115,Chaetophractus_villosus__KT818535.1,CINGULATA,Chaetophractus_villosus,Chlamyphoridae,CINGULATA_Chlamyphoridae,13,Lineage1,8,,,,
116,Calyptophractus_retusus__KT818532.1,CINGULATA,Calyptophractus_retusus,Chlamyphoridae,CINGULATA_Chlamyphoridae,13,Lineage1,8,,,,
117,Chlamyphorus_truncatus__NC_028563.1,CINGULATA,Chlamyphorus_truncatus,Chlamyphoridae,CINGULATA_Chlamyphoridae,13,Lineage1,8,,,,
118,Tolypeutes_tricinctus__KT818554.1,CINGULATA,Tolypeutes_tricinctus,Chlamyphoridae,CINGULATA_Chlamyphoridae,13,Lineage1,8,,,,
119,Tolypeutes_matacus__KT818553.1,CINGULATA,Tolypeutes_matacus,Chlamyphoridae,CINGULATA_Chlamyphoridae,13,Lineage1,8,,,,
120,Priodontes_maximus__KT818550.1,CINGULATA,Priodontes_maximus,Chlamyphoridae,CINGULATA_Chlamyphoridae,13,Lineage1,8,,,,
121,Cabassous_tatouay__KT818529.1,CINGULATA,Cabassous_tatouay,Chlamyphoridae,CINGULATA_Chlamyphoridae,13,Lineage1,8,,,,
122,Cabassous_chacoensis__KT818528.1,CINGULATA,Cabassous_chacoensis,Chlamyphoridae,CINGULATA_Chlamyphoridae,13,Lineage1,8,,,,
123,Cabassous_centralis__KT818527.1,CINGULATA,Cabassous_centralis,Chlamyphoridae,CINGULATA_Chlamyphoridae,13,Lineage1,8,,,,
124,Cabassous_unicinctus__KT818530.1,CINGULATA,Cabassous_unicinctus,Chlamyphoridae,CINGULATA_Chlamyphoridae,13,Lineage1,8,8,Chlamyphoridae,CINGULATA_Chlamyphoridae,13
125,Dasypus_kappleri__KT818541.1,CINGULATA,Dasypus_kappleri,Dasypodidae,CINGULATA_Dasypodidae,7,Lineage2,8,8,Dasypodidae,CINGULATA_Dasypodidae,7
126,Dasypus_septemcinctus__KT818546.1,CINGULATA,Dasypus_septemcinctus,Dasypodidae,CINGULATA_Dasypodidae,7,Lineage2,8,,,,
127,Dasypus_hybridus__KT818540.1,CINGULATA,Dasypus_hybridus,Dasypodidae,CINGULATA_Dasypodidae,7,Lineage2,8,,,,
128,Dasypus_pilosus__KT818543.1,CINGULATA,Dasypus_pilosus,Dasypodidae,CINGULATA_Dasypodidae,7,Lineage2,8,,,,
129,Dasypus_novemcinctus_NC_001821.1,CINGULATA,Dasypus_novemcinctus,Dasypodidae,CINGULATA_Dasypodidae,7,Lineage2,8,,,,
130,Dasypus_yepesi__KT818547.1,CINGULATA,Dasypus_mazzai,Dasypodidae,CINGULATA_Dasypodidae,7,Lineage2,8,,,,
131,Dasypus_sabanicola__KT818545.1,CINGULATA,Dasypus_sabanicola,Dasypodidae,CINGULATA_Dasypodidae,7,Lineage2,8,,,,
132,Myrmecophaga_tridactyla__MH142215.1,PILOSA,Myrmecophaga_tridactyla,Myrmecophagidae,PILOSA_Myrmecophagidae,3,Lineage1,9,,,,
133,Tamandua_tetradactyla_AJ421450.1,PILOSA,Tamandua_tetradactyla,Myrmecophagidae,PILOSA_Myrmecophagidae,3,Lineage1,9,,,,
134,Tamandua_mexicana__NC_028574.1,PILOSA,Tamandua_mexicana,Myrmecophagidae,PILOSA_Myrmecophagidae,3,Lineage1,9,,,,
135,Acratocnus_ye__MK903494.1,PILOSA,NA,Myrmecophagidae,PILOSA_Myrmecophagidae,3,Lineage1,9,9,Myrmecophagidae,PILOSA_Myrmecophagidae,3
136,Cyclopes_didactylus__KT818539.1,PILOSA,Cyclopes_didactylus,Cyclopedidae,PILOSA_Cyclopedidae,1,Lineage2,9,9,Cyclopedidae,PILOSA_Cyclopedidae,1
137,Mylodon_darwinii__MK903500.1,PILOSA,NA,Megalonychidae,PILOSA_Megalonychidae,2,Lineage1,10,,,,
138,Choloepus_hoffmanni_KR336793.1,PILOSA,Choloepus_hoffmanni,Megalonychidae,PILOSA_Megalonychidae,2,Lineage1,10,,,,
139,Choloepus_didactylus_AY960980.1,PILOSA,Choloepus_didactylus,Megalonychidae,PILOSA_Megalonychidae,2,Lineage1,10,,,,
140,Megalonyx_jeffersonii__MK903495.1,PILOSA,NA,Megalonychidae,PILOSA_Megalonychidae,2,Lineage1,10,,,,
141,Megatherium_americanum__MK903497.1,PILOSA,NA,Megalonychidae,PILOSA_Megalonychidae,2,Lineage1,10,10,Megalonychidae,PILOSA_Megalonychidae,2
142,Bradypus_torquatus__KT818524.1,PILOSA,Bradypus_torquatus,Bradypodidae,PILOSA_Bradypodidae,4,Lineage2,10,10,Bradypodidae,PILOSA_Bradypodidae,4
143,Bradypus_pygmaeus__KT818523.1,PILOSA,Bradypus_pygmaeus,Bradypodidae,PILOSA_Bradypodidae,4,Lineage2,10,,,,
144,Bradypus_tridactylus__KT818525.1,PILOSA,Bradypus_tridactylus,Bradypodidae,PILOSA_Bradypodidae,4,Lineage2,10,,,,
145,Bradypus_variegatus_AY960979.1,PILOSA,Bradypus_variegatus,Bradypodidae,PILOSA_Bradypodidae,4,Lineage2,10,,,,
146,Rhynchocyon_udzungwensis_MH056211.1,MACROSCELIDEA,Rhynchocyon_udzungwensis,Macroscelididae,MACROSCELIDEA_Macroscelididae,19,Lineage1,11,,,,
147,Elephantulus_edwardii_NC_041486.1,MACROSCELIDEA,Elephantulus_edwardii,Macroscelididae,MACROSCELIDEA_Macroscelididae,19,Lineage1,11,,,,
148,Macroscelides_proboscideus_NC_004026.1,MACROSCELIDEA,Macroscelides_proboscideus,Macroscelididae,MACROSCELIDEA_Macroscelididae,19,Lineage1,11,,,,
149,Elephantulus_revoilii__MT354767.1,MACROSCELIDEA,Elephantulus_revoilii,Macroscelididae,MACROSCELIDEA_Macroscelididae,19,Lineage1,11,11,Macroscelididae,MACROSCELIDEA_Macroscelididae,19
150,Orycteropus_afer_Y18475.1,TUBULIDENTATA,Orycteropus_afer,Orycteropodidae,TUBULIDENTATA_Orycteropodidae,1,Lineage2,11,11,Orycteropodidae,TUBULIDENTATA_Orycteropodidae,1
151,Chrysochloris_asiatica_AB096866.1,AFROSORICIDA,Chrysochloris_asiatica,Chrysochloridae,AFROSORICIDA_Chrysochloridae,21,Lineage1,12,,,,
152,Eremitalpa_granti_NC_010304.1,AFROSORICIDA,Eremitalpa_granti,Chrysochloridae,AFROSORICIDA_Chrysochloridae,21,Lineage1,12,12,Chrysochloridae,AFROSORICIDA_Chrysochloridae,21
153,Echinops_telfairi_AB099484.1,AFROSORICIDA,Echinops_telfairi,Tenrecidae,AFROSORICIDA_Tenrecidae,31,Lineage2,12,12,Tenrecidae+Potamogalidae,AFROSORICIDA_Tenrecidae,34
154,Trichechus_manatus_latirostris_MN105083.1,SIRENIA,Trichechus_manatus,Trichechidae,SIRENIA_Trichechidae,3,Lineage1,13,13,Trichechidae,SIRENIA_Trichechidae,3
155,Dugong_dugon_NC_003314.1,SIRENIA,Dugong_dugon,Dugongidae,SIRENIA_Dugongidae,1,Lineage2,13,13,Dugongidae,SIRENIA_Dugongidae,1
156,Hydrodamalis_gigas_MH718932.1,SIRENIA,NA,Dugongidae,SIRENIA_Dugongidae,1,Lineage2,13,,,,
157,Mammut_americanum__MN616968.1,PROBOSCIDEA,NA,Elephantidae,PROBOSCIDEA_Elephantidae,3,Lineage1,14,,,,
