,Seq.Names,Order.FTL,Family.FTL,Tree.Tips,Clade.Sizes,Lineages,Sisters,Sister,Label,Tree.Tip,Clade.Size
29,Acipenser_naccarii_MK078265.1,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
30,Acipenser_ruthenus_KF153104.1,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
31,Acipenser_brevirostrum_KX817302.2,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
32,Acipenser_fulvescens_KU985082.2,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
33,Acipenser_baerii_MW856903.1,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,,,,
34,Acipenser_persicus_MW713795.1,Acipenseriformes,Acipenseridae,Acipenseriformes_Acipenseridae,25,Lineage1,1,1,Acipenseridae,Acipenseriformes_Acipenseridae,25
35,Polyodon_spathula_AY510086.1,Acipenseriformes,Polyodontidae,Acipenseriformes_Polyodontidae,2,Lineage2,1,1,Polyodontidae,Acipenseriformes_Polyodontidae,2
36,Psephurus_gladius_AY571339.1,Acipenseriformes,Polyodontidae,Acipenseriformes_Polyodontidae,2,Lineage2,1,,,,
37,Atractosteus_tropicus_KJ531198.1,Lepisosteiformes,Lepisosteidae,Lepisosteiformes_Lepisosteidae,7,Lineage1,2,,,,
38,Atractosteus_spatula_NC_008131.1,Lepisosteiformes,Lepisosteidae,Lepisosteiformes_Lepisosteidae,7,Lineage1,2,,,,
39,Atractosteus_tristoechus_KY581571.1,Lepisosteiformes,Lepisosteidae,Lepisosteiformes_Lepisosteidae,7,Lineage1,2,,,,
40,Lepisosteus_osseus_DQ536423.1,Lepisosteiformes,Lepisosteidae,Lepisosteiformes_Lepisosteidae,7,Lineage1,2,,,,
41,Lepisosteus_oculatus_AB042861.1,Lepisosteiformes,Lepisosteidae,Lepisosteiformes_Lepisosteidae,7,Lineage1,2,2,Lepisosteidae,Lepisosteiformes_Lepisosteidae,7
42,Amia_calva_AY442347.1,Amiiformes,Amiidae,Amiiformes_Amiidae,1,Lineage2,2,2,Amiidae,Amiiformes_Amiidae,1
43,Elops_hawaiensis_AB051070.1,Elopiformes,Elopidae,Elopiformes_Elopidae,7,Lineage1,3,,,,
44,Elops_saurus_AP004807.1,Elopiformes,Elopidae,Elopiformes_Elopidae,7,Lineage1,3,3,Elopidae,Elopiformes_Elopidae,7
45,Megalops_atlanticus_AP004808.1,Elopiformes,Megalopidae,Elopiformes_Megalopidae,2,Lineage2,3,3,Megalopidae,Elopiformes_Megalopidae,2
46,Megalops_cyprinoides_AB051110.1,Elopiformes,Megalopidae,Elopiformes_Megalopidae,2,Lineage2,3,,,,
47,Pterothrissus_gissu_NC_005796.1,Albuliformes,Albulidae,Albuliformes_Albulidae,11,,,,,,
48,Albula_glossodonta_AP002973.1,Albuliformes,Albulidae,Albuliformes_Albulidae,11,,,,,,
49,Notacanthus_bonaparte_MT027058.1,Notacanthiformes,Notacanthidae,Notacanthiformes_Notacanthidae,11,Lineage1,4,,,,
50,Notacanthus_chemnitzi_AP002975.2,Notacanthiformes,Notacanthidae,Notacanthiformes_Notacanthidae,11,Lineage1,4,4,Notacanthidae,Notacanthiformes_Notacanthidae,11
51,Aldrovandia_affinis_AP002974.1,Notacanthiformes,Halosauridae,Notacanthiformes_Halosauridae,16,Lineage2,4,4,Halosauridae,Notacanthiformes_Halosauridae,16
52,Halosauropsis_macrochir_NC_035885.1,Notacanthiformes,Halosauridae,Notacanthiformes_Halosauridae,16,Lineage2,4,,,,
53,Synaphobranchus_kaupii_AP002977.2,Anguilliformes,Synaphobranchidae,Anguilliformes_Synaphobranchidae,38,,,,,,
54,Simenchelys_parasitica_NC_013605.1,Anguilliformes,Synaphobranchidae,Anguilliformes_Synaphobranchidae,38,,,,,,
55,Ilyophis_brunneus_NC_013634.1,Anguilliformes,Synaphobranchidae,Anguilliformes_Synaphobranchidae,38,,,,,,
56,Dysomma_anguillare_MK189460.1,Anguilliformes,Synaphobranchidae,Anguilliformes_Synaphobranchidae,38,,,,,,
57,Anguilla_australis_australis_AP007234.1,Anguilliformes,Anguillidae,Anguilliformes_Anguillidae,23,Lineage1,5,,,,
58,Anguilla_dieffenbachii_AP007240.1,Anguilliformes,Anguillidae,Anguilliformes_Anguillidae,23,Lineage1,5,,,,
59,Anguilla_mossambica_AP007244.1,Anguilliformes,Anguillidae,Anguilliformes_Anguillidae,23,Lineage1,5,,,,
60,Anguilla_japonica_KT355033.1,Anguilliformes,Anguillidae,Anguilliformes_Anguillidae,23,Lineage1,5,,,,
61,Anguilla_rostrata_AP007249.2,Anguilliformes,Anguillidae,Anguilliformes_Anguillidae,23,Lineage1,5,,,,
62,Anguilla_anguilla_KJ564221.1,Anguilliformes,Anguillidae,Anguilliformes_Anguillidae,23,Lineage1,5,,,,
63,Anguilla_malgumora_AP007238.1,Anguilliformes,Anguillidae,Anguilliformes_Anguillidae,23,Lineage1,5,,,,
64,Anguilla_reinhardtii_AP007248.1,Anguilliformes,Anguillidae,Anguilliformes_Anguillidae,23,Lineage1,5,,,,
65,Anguilla_celebesensis_AP007239.1,Anguilliformes,Anguillidae,Anguilliformes_Anguillidae,23,Lineage1,5,,,,
66,Anguilla_megastoma_AP007243.1,Anguilliformes,Anguillidae,Anguilliformes_Anguillidae,23,Lineage1,5,,,,
67,Anguilla_marmorata_AP007242.1,Anguilliformes,Anguillidae,Anguilliformes_Anguillidae,23,Lineage1,5,,,,
68,Anguilla_obscura_AP007247.1,Anguilliformes,Anguillidae,Anguilliformes_Anguillidae,23,Lineage1,5,,,,
69,Anguilla_bicolor_bicolor_AP007236.1,Anguilliformes,Anguillidae,Anguilliformes_Anguillidae,23,Lineage1,5,,,,
70,Anguilla_bengalensis_labiata_AP007245.1,Anguilliformes,Anguillidae,Anguilliformes_Anguillidae,23,Lineage1,5,,,,
71,Anguilla_nebulosa_nebulosa_AP007246.1,Anguilliformes,Anguillidae,Anguilliformes_Anguillidae,23,Lineage1,5,,,,
72,Anguilla_luzonensis_AB469437.1,Anguilliformes,Anguillidae,Anguilliformes_Anguillidae,23,Lineage1,5,,,,
73,Anguilla_interioris_AP007241.1,Anguilliformes,Anguillidae,Anguilliformes_Anguillidae,23,Lineage1,5,5,Anguillidae,Anguilliformes_Anguillidae,23
74,Stemonidium_hypomelas_NC_013628.2,Anguilliformes,Serrivomeridae,Anguilliformes_Serrivomeridae,11,Lineage2,5,5,Serrivomeridae+Nemichthyidae,Anguilliformes_Serrivomeridae,20
75,Serrivomer_sector_AP007250.1,Anguilliformes,Serrivomeridae,Anguilliformes_Serrivomeridae,11,Lineage2,5,,,,
76,Serrivomer_beanii_NC_013627.1,Anguilliformes,Serrivomeridae,Anguilliformes_Serrivomeridae,11,Lineage2,5,,,,
77,Labichthys_carinatus_NC_013626.2,Anguilliformes,Nemichthyidae,Anguilliformes_Nemichthyidae,9,Lineage2,5,,,,
78,Nemichthys_scolopaceus_NC_013620.1,Anguilliformes,Nemichthyidae,Anguilliformes_Nemichthyidae,9,Lineage2,5,,,,
79,Avocettina_infans_NC_013624.2,Anguilliformes,Nemichthyidae,Anguilliformes_Nemichthyidae,9,Lineage2,5,,,,
80,Moringua_microchir_NC_013602.1,Anguilliformes,Moringuidae,Anguilliformes_Moringuidae,15,Lineage1,6,,,,
81,Moringua_edwardsi_NC_013622.1,Anguilliformes,Moringuidae,Anguilliformes_Moringuidae,15,Lineage1,6,,,,
82,Eurypharynx_pelecanoides_AB046473.2,Anguilliformes,Eurypharyngidae,Anguilliformes_Eurypharyngidae,1,Lineage1,6,6,Eurypharyngidae+Moringuidae,Anguilliformes_Eurypharyngidae,16
83,Saccopharynx_lavenbergi_AB047825.1,Anguilliformes,Saccopharyngidae,Anguilliformes_Saccopharyngidae,10,Lineage2,6,6,Saccopharyngidae,Anguilliformes_Saccopharyngidae,10
84,Robinsia_catherinae_NC_013633.1,Anguilliformes,Chlopsidae,Anguilliformes_Chlopsidae,22,Lineage1,7,,,,
85,Kaupichthys_hyoproroides_NC_013607.1,Anguilliformes,Chlopsidae,Anguilliformes_Chlopsidae,22,Lineage1,7,7,Chlopsidae,Anguilliformes_Chlopsidae,22
86,Scuticaria_tigrina_KP874183.1,Anguilliformes,Muraenidae,Anguilliformes_Muraenidae,201,Lineage2,7,7,Muraenidae+Heterenchelyidae,Anguilliformes_Muraenidae,209
87,Gymnomuraena_zebra_KP793920.1,Anguilliformes,Muraenidae,Anguilliformes_Muraenidae,201,Lineage2,7,,,,
88,Gymnothorax_formosus_KP874184.1,Anguilliformes,Muraenidae,Anguilliformes_Muraenidae,201,Lineage2,7,,,,
89,Enchelynassa_canina_KP893074.1,Anguilliformes,Muraenidae,Anguilliformes_Muraenidae,201,Lineage2,7,,,,
90,Strophidon_sathete_MW035594.1,Anguilliformes,Muraenidae,Anguilliformes_Muraenidae,201,Lineage2,7,,,,
91,Rhinomuraena_quaesita_NC_013610.1,Anguilliformes,Muraenidae,Anguilliformes_Muraenidae,201,Lineage2,7,,,,
92,Gymnothorax_minor_MF448350.1,Anguilliformes,Muraenidae,Anguilliformes_Muraenidae,201,Lineage2,7,,,,
93,Gymnothorax_kidako_AP002976.1,Anguilliformes,Muraenidae,Anguilliformes_Muraenidae,201,Lineage2,7,,,,
94,Pythonichthys_microphthalmus_NC_013601.1,Anguilliformes,Heterenchelyidae,Anguilliformes_Heterenchelyidae,8,Lineage2,7,,,,
95,Coloconger_cadenati_NC_013606.1,Anguilliformes,Colocongridae,Anguilliformes_Colocongridae,9,Lineage1,8,8,Colocongridae,Anguilliformes_Colocongridae,9
96,Nessorhamphus_ingolfianus_NC_013608.1,Anguilliformes,Derichthyidae,Anguilliformes_Derichthyidae,3,Lineage2,8,8,Derichthyidae,Anguilliformes_Derichthyidae,3
97,Derichthys_serpentinus_NC_013611.1,Anguilliformes,Derichthyidae,Anguilliformes_Derichthyidae,3,Lineage2,8,,,,
98,Ophichthus_rotundus_KY081397.1,Anguilliformes,Ophichthidae,Anguilliformes_Ophichthidae,313,Lineage1,9,,,,
99,Ophichthus_brevicaudatus_MK189459.1,Anguilliformes,Ophichthidae,Anguilliformes_Ophichthidae,313,Lineage1,9,,,,
100,Brachysomophis_crocodilinus_KY081398.1,Anguilliformes,Ophichthidae,Anguilliformes_Ophichthidae,313,Lineage1,9,,,,
101,Xyrias_revulsus_KY021065.1,Anguilliformes,Ophichthidae,Anguilliformes_Ophichthidae,313,Lineage1,9,,,,
102,Ophisurus_macrorhynchos_AP002978.1,Anguilliformes,Ophichthidae,Anguilliformes_Ophichthidae,313,Lineage1,9,9,Ophichthidae,Anguilliformes_Ophichthidae,313
103,Cynoponticus_ferox_NC_013617.1,Anguilliformes,Muraenesocidae,Anguilliformes_Muraenesocidae,15,Lineage2,9,9,Muraenesocidae,Anguilliformes_Muraenesocidae,15
104,Muraenesox_bagio_NC_013614.1,Anguilliformes,Muraenesocidae,Anguilliformes_Muraenesocidae,15,Lineage2,9,,,,
105,Muraenesox_cinereus_MT571331.1,Anguilliformes,Muraenesocidae,Anguilliformes_Muraenesocidae,15,Lineage2,9,,,,
106,Conger_myriaster_AB038381.2,Anguilliformes,Congridae,Anguilliformes_Congridae,194,Lineage1,10,,,,
107,Conger_japonicus_KR131863.1,Anguilliformes,Congridae,Anguilliformes_Congridae,194,Lineage1,10,,,,
108,Ariosoma_shiroanago_NC_013632.1,Anguilliformes,Congridae,Anguilliformes_Congridae,194,Lineage1,10,,,,
109,Paraconger_notialis_NC_013630.1,Anguilliformes,Congridae,Anguilliformes_Congridae,194,Lineage1,10,,,,
110,Heteroconger_hassi_NC_013629.1,Anguilliformes,Congridae,Anguilliformes_Congridae,194,Lineage1,10,10,Congridae,Anguilliformes_Congridae,194
111,Facciolella_oxyrhyncha_NC_013621.1,Anguilliformes,Nettastomatidae,Anguilliformes_Nettastomatidae,42,Lineage2,10,10,Nettastomatidae,Anguilliformes_Nettastomatidae,42
112,Nettastoma_parviceps_NC_013625.1,Anguilliformes,Nettastomatidae,Anguilliformes_Nettastomatidae,42,Lineage2,10,,,,
113,Hoplunnis_punctata_NC_013623.1,Anguilliformes,Nettastomatidae,Anguilliformes_Nettastomatidae,42,Lineage2,10,,,,
114,Hiodon_tergisus_NC_015082.1,Hiodontiformes,Hiodontidae,Hiodontiformes_Hiodontidae,2,,,,,,
115,Hiodon_alosoides_AP004356.2,Hiodontiformes,Hiodontidae,Hiodontiformes_Hiodontidae,2,,,,,,
116,Heterotis_niloticus_NC_015081.1,Osteoglossiformes,Osteoglossidae,Osteoglossiformes_Osteoglossidae,14,,,,,,
117,Arapaima_gigas_EF523611.1,Osteoglossiformes,Osteoglossidae,Osteoglossiformes_Osteoglossidae,14,,,,,,
118,Scleropages_formosus_DQ023143.1,Osteoglossiformes,Osteoglossidae,Osteoglossiformes_Osteoglossidae,14,,,,,,
119,Scleropages_jardinii_KF481952.1,Osteoglossiformes,Osteoglossidae,Osteoglossiformes_Osteoglossidae,14,,,,,,
120,Osteoglossum_bicirrhosum_AB043025.1,Osteoglossiformes,Osteoglossidae,Osteoglossiformes_Osteoglossidae,14,,,,,,
121,Xenomystus_nigri_AP008927.1,Osteoglossiformes,Notopteridae,Osteoglossiformes_Notopteridae,10,Lineage1,11,,,,
122,Papyrocranus_congoensis_AP008926.1,Osteoglossiformes,Notopteridae,Osteoglossiformes_Notopteridae,10,Lineage1,11,,,,
123,Notopterus_notopterus_AP008924.1,Osteoglossiformes,Notopteridae,Osteoglossiformes_Notopteridae,10,Lineage1,11,,,,
124,Chitala_ornata_AP008923.1,Osteoglossiformes,Notopteridae,Osteoglossiformes_Notopteridae,10,Lineage1,11,,,,
125,Chitala_blanci_AP008921.1,Osteoglossiformes,Notopteridae,Osteoglossiformes_Notopteridae,10,Lineage1,11,,,,
126,Chitala_lopis_AP008922.1,Osteoglossiformes,Notopteridae,Osteoglossiformes_Notopteridae,10,Lineage1,11,11,Notopteridae,Osteoglossiformes_Notopteridae,10
127,Petrocephalus_microphthalmus_NC_015098.1,Osteoglossiformes,Mormyridae,Osteoglossiformes_Mormyridae,222,Lineage2,11,11,Mormyridae+Gymnarchidae,Osteoglossiformes_Mormyridae,223
128,Petrocephalus_soudanensis_NC_015092.1,Osteoglossiformes,Mormyridae,Osteoglossiformes_Mormyridae,222,Lineage2,11,,,,
129,Myomyrus_macrops_NC_015089.1,Osteoglossiformes,Mormyridae,Osteoglossiformes_Mormyridae,222,Lineage2,11,,,,
130,Cyphomyrus_discorhynchus_NC_015105.1,Osteoglossiformes,Mormyridae,Osteoglossiformes_Mormyridae,222,Lineage2,11,,,,
131,Paramormyrops_gabonensis_NC_015107.1,Osteoglossiformes,Mormyridae,Osteoglossiformes_Mormyridae,222,Lineage2,11,,,,
132,Brienomyrus_niger_AP008929.1,Osteoglossiformes,Mormyridae,Osteoglossiformes_Mormyridae,222,Lineage2,11,,,,
133,Marcusenius_senegalensis_NC_015090.1,Osteoglossiformes,Mormyridae,Osteoglossiformes_Mormyridae,222,Lineage2,11,,,,
134,Genyomyrus_donnyi_NC_015086.1,Osteoglossiformes,Mormyridae,Osteoglossiformes_Mormyridae,222,Lineage2,11,,,,
135,Gnathonemus_petersii_AP008928.2,Osteoglossiformes,Mormyridae,Osteoglossiformes_Mormyridae,222,Lineage2,11,,,,
136,Campylomormyrus_compressirostris_NC_022960.1,Osteoglossiformes,Mormyridae,Osteoglossiformes_Mormyridae,222,Lineage2,11,,,,
137,Gymnarchus_niloticus_AP008930.1,Osteoglossiformes,Gymnarchidae,Osteoglossiformes_Gymnarchidae,1,Lineage2,11,,,,
138,Bajacalifornia_megalops_NC_013577.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
139,Alepocephalus_bairdii_NC_013567.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
140,Alepocephalus_productus_NC_013570.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
141,Conocara_macropterum_NC_013581.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
142,Conocara_murrayi_NC_013583.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
143,Alepocephalus_tenebrosus_NC_004590.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
144,Alepocephalus_agassizii_NC_013564.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
145,Narcetes_erimelas_NC_011008.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
146,Narcetes_stomias_NC_013560.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
147,Herwigia_kreffti_NC_013555.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
148,Alepocephalus_bicolor_NC_011012.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
149,Alepocephalus_australis_NC_013566.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
150,Leptoderma_lubricum_NC_013557.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
151,Leptoderma_macrophthalmum_NC_015100.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
152,Leptoderma_retropinna_NC_013559.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
153,Bathyprion_danae_NC_011015.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
154,Alepocephalus_umbriceps_NC_013572.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
155,Talismania_bifurcata_NC_013562.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
156,Bathytroctes_breviceps_NC_013574.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
157,Bathytroctes_macrolepis_NC_013575.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
158,Bathytroctes_michaelsarsi_NC_013579.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,,,,
159,Bathytroctes_microlepis_NC_011017.1,Alepocephaliformes,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98,Lineage1,12,12,Alepocephalidae,Alepocephaliformes_Alepocephalidae,98
160,Maulisia_mauli_NC_011007.1,Alepocephaliformes,Platytroctidae,Alepocephaliformes_Platytroctidae,39,Lineage2,12,12,Platytroctidae,Alepocephaliformes_Platytroctidae,39
161,Normichthys_operosus_NC_011009.1,Alepocephaliformes,Platytroctidae,Alepocephaliformes_Platytroctidae,39,Lineage2,12,,,,
162,Platytroctes_apus_NC_004597.1,Alepocephaliformes,Platytroctidae,Alepocephaliformes_Platytroctidae,39,Lineage2,12,,,,
163,Sagamichthys_abei_NC_011010.1,Alepocephaliformes,Platytroctidae,Alepocephaliformes_Platytroctidae,39,Lineage2,12,,,,
164,Denticeps_clupeoides_NC_007889.1,Clupeiformes,Denticipitidae,Clupeiformes_Denticipitidae,1,,,,,,
165,Thryssa_hamiltonii_KX096870.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
166,Setipinna_tenuifilis_MT764773.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
167,Thryssa_baelama_NC_014264.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
168,Thryssa_setirostris_MG755269.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
169,Thryssa_kammalensis_MH465023.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
170,Thryssa_vitrirostris_MG786488.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
171,Coilia_grayii_MH465028.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
172,Coilia_mystus_KJ710625.2,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
173,Coilia_lindmani_NC_014271.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
174,Coilia_nasus_MH465025.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
175,Coilia_brachygnathus_MK134714.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
176,Coilia_reynaldi_NC_014276.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
177,Lycothrissa_crocodilus_NC_014277.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
178,Setipinna_taty_KC439458.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
179,Stolephorus_insularis_MH732976.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
180,Stolephorus_commersonnii_KX753639.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
181,Stolephorus_waitei_MH732977.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
182,Engraulis_ringens_MH732975.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
183,Thryssa_dussumieri_MK344184.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
184,Lycengraulis_grossidens_NC_014279.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
185,Amazonsprattus_scintilla_NC_014265.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
186,Engraulis_mordax_MH613715.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
187,Engraulis_encrasicolus_NC_009581.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
188,Engraulis_japonicus_AB040676.1,Clupeiformes,Engraulidae,Clupeiformes_Engraulidae,145,,,,,,
189,Spratelloides_gracilis_NC_009589.1,Clupeiformes,Clupeidae,Clupeiformes_Clupeidae,200,Lineage1,13,,,,
190,Spratelloides_delicatulus_NC_009588.1,Clupeiformes,Clupeidae,Clupeiformes_Clupeidae,200,Lineage1,13,,,,
191,Jenkinsia_lamprotaenia_AP006230.1,Clupeiformes,Clupeidae,Clupeiformes_Clupeidae,200,Lineage1,13,,,,
192,Clupeonella_cultriventris_NC_015109.1,Clupeiformes,Clupeidae,Clupeiformes_Clupeidae,200,Lineage1,13,,,,
193,Sardina_pilchardus_NC_009592.1,Clupeiformes,Clupeidae,Clupeiformes_Clupeidae,200,Lineage1,13,,,,
194,Sardinops_melanostictus_AB032554.1,Clupeiformes,Clupeidae,Clupeiformes_Clupeidae,200,Lineage1,13,,,,
195,Brevoortia_tyrannus_NC_014266.1,Clupeiformes,Clupeidae,Clupeiformes_Clupeidae,200,Lineage1,13,,,,
196,Alosa_aestivalis_MT667245.1,Clupeiformes,Clupeidae,Clupeiformes_Clupeidae,200,Lineage1,13,,,,
197,Alosa_mediocris_MG570462.1,Clupeiformes,Clupeidae,Clupeiformes_Clupeidae,200,Lineage1,13,,,,
198,Alosa_pseudoharengus_MG570439.1,Clupeiformes,Clupeidae,Clupeiformes_Clupeidae,200,Lineage1,13,,,,
